rank,term,count,doc_count,doc_pct,n_docs_base,term_norm_for_refinement,refined_audit_category,refined_audit_reason,include_in_refined_semantic_review,refinement_source_table,manual_override,manual_override_note,term_norm_final_cleanup,final_cleanup_category,final_cleanup_reason,include_in_final_semantic_review,final_cleanup_source_table
18,therapeutic action,355,180,1.4798,12164,therapeutic action,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,therapeutic action,final_keep,kept_after_final_cleanup,True,global_core_bigrams
19,united states,349,266,2.1868,12164,united states,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,united states,final_keep,kept_after_final_cleanup,True,global_core_bigrams
20,personality disorder,344,140,1.1509,12164,personality disorder,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,personality disorder,final_keep,kept_after_final_cleanup,True,global_core_bigrams
21,melanie klein,342,183,1.5044,12164,melanie klein,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,melanie klein,final_keep,kept_after_final_cleanup,True,global_core_bigrams
22,psychic reality,326,149,1.2249,12164,psychic reality,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,psychic reality,final_keep,protected_psychoanalytic_term,True,global_core_bigrams
23,transference countertransference,317,239,1.9648,12164,transference countertransference,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,transference countertransference,final_keep,kept_after_final_cleanup,True,global_core_bigrams
24,ernest jones,314,141,1.1592,12164,ernest jones,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,ernest jones,final_keep,kept_after_final_cleanup,True,global_core_bigrams
25,otto kernberg,305,77,0.633,12164,otto kernberg,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,otto kernberg,final_keep,kept_after_final_cleanup,True,global_core_bigrams
26,self psychology,303,143,1.1756,12164,self psychology,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,self psychology,final_keep,kept_after_final_cleanup,True,global_core_bigrams
27,buenos aires,296,204,1.6771,12164,buenos aires,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,buenos aires,final_keep,kept_after_final_cleanup,True,global_core_bigrams
28,harold blum,285,71,0.5837,12164,harold blum,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,harold blum,final_keep,kept_after_final_cleanup,True,global_core_bigrams
30,transference neurosis,259,130,1.0687,12164,transference neurosis,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,transference neurosis,final_keep,kept_after_final_cleanup,True,global_core_bigrams
31,robert wallerstein,257,70,0.5755,12164,robert wallerstein,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,robert wallerstein,final_keep,kept_after_final_cleanup,True,global_core_bigrams
32,accepted publication,255,249,2.047,12164,accepted publication,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,accepted publication,final_keep,kept_after_final_cleanup,True,global_core_bigrams
33,borderline personality,245,106,0.8714,12164,borderline personality,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,borderline personality,final_keep,kept_after_final_cleanup,True,global_core_bigrams
36,mental life,223,185,1.5209,12164,mental life,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,mental life,final_keep,kept_after_final_cleanup,True,global_core_bigrams
37,personality disorders,223,119,0.9783,12164,personality disorders,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,personality disorders,final_keep,kept_after_final_cleanup,True,global_core_bigrams
39,ego psychology,220,131,1.0769,12164,ego psychology,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,ego psychology,final_keep,kept_after_final_cleanup,True,global_core_bigrams
40,thomas ogden,220,61,0.5015,12164,thomas ogden,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,thomas ogden,final_keep,kept_after_final_cleanup,True,global_core_bigrams
41,glen gabbard,220,71,0.5837,12164,glen gabbard,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,glen gabbard,final_keep,kept_after_final_cleanup,True,global_core_bigrams
42,pointed out,214,197,1.6195,12164,pointed out,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,pointed out,final_keep,kept_after_final_cleanup,True,global_core_bigrams
44,international journal,209,157,1.2907,12164,international journal,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,international journal,final_keep,kept_after_final_cleanup,True,global_core_bigrams
45,psychic structure,209,134,1.1016,12164,psychic structure,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,psychic structure,final_keep,kept_after_final_cleanup,True,global_core_bigrams
46,international psycho-analytical,206,138,1.1345,12164,international psycho-analytical,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,international psycho-analytical,final_keep,kept_after_final_cleanup,True,global_core_bigrams
47,meeting american,206,197,1.6195,12164,meeting american,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,meeting american,final_keep,kept_after_final_cleanup,True,global_core_bigrams
48,gender identity,205,77,0.633,12164,gender identity,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,gender identity,final_keep,kept_after_final_cleanup,True,global_core_bigrams
50,mental functioning,201,154,1.266,12164,mental functioning,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,mental functioning,final_keep,kept_after_final_cleanup,True,global_core_bigrams
51,therapeutic alliance,200,91,0.7481,12164,therapeutic alliance,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,therapeutic alliance,final_keep,kept_after_final_cleanup,True,global_core_bigrams
52,consulting room,199,141,1.1592,12164,consulting room,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,consulting room,final_keep,kept_after_final_cleanup,True,global_core_bigrams
53,therapeutic relationship,196,140,1.1509,12164,therapeutic relationship,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,therapeutic relationship,final_keep,kept_after_final_cleanup,True,global_core_bigrams
54,stephen seligman,196,44,0.3617,12164,stephen seligman,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,stephen seligman,final_keep,kept_after_final_cleanup,True,global_core_bigrams
55,death instinct,194,93,0.7646,12164,death instinct,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,death instinct,final_keep,kept_after_final_cleanup,True,global_core_bigrams
56,steven cooper,194,52,0.4275,12164,steven cooper,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,steven cooper,final_keep,kept_after_final_cleanup,True,global_core_bigrams
58,primal scene,191,80,0.6577,12164,primal scene,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,primal scene,final_keep,kept_after_final_cleanup,True,global_core_bigrams
59,adrienne harris,190,69,0.5672,12164,adrienne harris,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,adrienne harris,final_keep,kept_after_final_cleanup,True,global_core_bigrams
60,stephen mitchell,190,135,1.1098,12164,stephen mitchell,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,stephen mitchell,final_keep,kept_after_final_cleanup,True,global_core_bigrams
61,leo rangell,188,49,0.4028,12164,leo rangell,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,leo rangell,final_keep,kept_after_final_cleanup,True,global_core_bigrams
63,edward glover,183,46,0.3782,12164,edward glover,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,edward glover,final_keep,kept_after_final_cleanup,True,global_core_bigrams
64,conscious unconscious,182,164,1.3482,12164,conscious unconscious,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,conscious unconscious,final_keep,kept_after_final_cleanup,True,global_core_bigrams
65,unconscious fantasy,180,93,0.7646,12164,unconscious fantasy,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,unconscious fantasy,final_keep,kept_after_final_cleanup,True,global_core_bigrams
66,early childhood,179,143,1.1756,12164,early childhood,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,early childhood,final_keep,kept_after_final_cleanup,True,global_core_bigrams
67,peter fonagy,179,67,0.5508,12164,peter fonagy,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,peter fonagy,final_keep,kept_after_final_cleanup,True,global_core_bigrams
69,pleasure principle,174,119,0.9783,12164,pleasure principle,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,pleasure principle,final_keep,kept_after_final_cleanup,True,global_core_bigrams
70,object relationships,174,127,1.0441,12164,object relationships,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,object relationships,final_keep,kept_after_final_cleanup,True,global_core_bigrams
72,lewis aron,173,56,0.4604,12164,lewis aron,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,lewis aron,final_keep,kept_after_final_cleanup,True,global_core_bigrams
73,roy schafer,171,46,0.3782,12164,roy schafer,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,roy schafer,final_keep,kept_after_final_cleanup,True,global_core_bigrams
74,ego ideal,169,70,0.5755,12164,ego ideal,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,ego ideal,final_keep,kept_after_final_cleanup,True,global_core_bigrams
77,personality organization,160,71,0.5837,12164,personality organization,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,personality organization,final_keep,kept_after_final_cleanup,True,global_core_bigrams
78,psychic change,160,62,0.5097,12164,psychic change,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,psychic change,final_keep,kept_after_final_cleanup,True,global_core_bigrams
79,nyu postdoctoral,159,140,1.1509,12164,nyu postdoctoral,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,nyu postdoctoral,final_keep,kept_after_final_cleanup,True,global_core_bigrams
80,external reality,158,119,0.9783,12164,external reality,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,external reality,final_keep,kept_after_final_cleanup,True,global_core_bigrams
81,repetition compulsion,156,72,0.5919,12164,repetition compulsion,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,repetition compulsion,final_keep,kept_after_final_cleanup,True,global_core_bigrams
82,interpretation dreams,155,96,0.7892,12164,interpretation dreams,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,interpretation dreams,final_keep,kept_after_final_cleanup,True,global_core_bigrams
83,self object,155,103,0.8468,12164,self object,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,self object,final_keep,kept_after_final_cleanup,True,global_core_bigrams
86,external world,153,119,0.9783,12164,external world,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,external world,final_keep,kept_after_final_cleanup,True,global_core_bigrams
87,associate editor,153,141,1.1592,12164,associate editor,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,associate editor,final_keep,kept_after_final_cleanup,True,global_core_bigrams
88,lauren levine,153,43,0.3535,12164,lauren levine,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,lauren levine,final_keep,kept_after_final_cleanup,True,global_core_bigrams
90,one's own,150,125,1.0276,12164,one's own,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,one's own,final_keep,kept_after_final_cleanup,True,global_core_bigrams
91,rachel blass,150,46,0.3782,12164,rachel blass,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,rachel blass,final_keep,kept_after_final_cleanup,True,global_core_bigrams
92,notification latest,150,50,0.411,12164,notification latest,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,notification latest,final_keep,kept_after_final_cleanup,True,global_core_bigrams
94,internal objects,149,101,0.8303,12164,internal objects,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,internal objects,final_keep,kept_after_final_cleanup,True,global_core_bigrams
95,female sexuality,146,65,0.5344,12164,female sexuality,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,female sexuality,final_keep,kept_after_final_cleanup,True,global_core_bigrams
96,inner world,145,115,0.9454,12164,inner world,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,inner world,final_keep,kept_after_final_cleanup,True,global_core_bigrams
98,object relationship,143,90,0.7399,12164,object relationship,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,object relationship,final_keep,kept_after_final_cleanup,True,global_core_bigrams
99,ego functions,143,104,0.855,12164,ego functions,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,ego functions,final_keep,kept_after_final_cleanup,True,global_core_bigrams
101,editor dialogues,141,140,1.1509,12164,editor dialogues,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,editor dialogues,final_keep,kept_after_final_cleanup,True,global_core_bigrams
102,internal external,140,127,1.0441,12164,internal external,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,internal external,final_keep,kept_after_final_cleanup,True,global_core_bigrams
104,joyce slochower,138,33,0.2713,12164,joyce slochower,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,joyce slochower,final_keep,kept_after_final_cleanup,True,global_core_bigrams
105,reflective functioning,138,44,0.3617,12164,reflective functioning,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,reflective functioning,final_keep,kept_after_final_cleanup,True,global_core_bigrams
106,object representations,137,86,0.707,12164,object representations,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,object representations,final_keep,kept_after_final_cleanup,True,global_core_bigrams
108,death drive,137,64,0.5261,12164,death drive,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,death drive,final_keep,kept_after_final_cleanup,True,global_core_bigrams
109,steven roose,137,37,0.3042,12164,steven roose,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,steven roose,final_keep,kept_after_final_cleanup,True,global_core_bigrams
110,gender sexuality,137,120,0.9865,12164,gender sexuality,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,gender sexuality,final_keep,kept_after_final_cleanup,True,global_core_bigrams
111,alanson white,137,122,1.003,12164,alanson white,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,alanson white,final_keep,kept_after_final_cleanup,True,global_core_bigrams
112,defence mechanisms,135,85,0.6988,12164,defence mechanisms,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,defence mechanisms,final_keep,kept_after_final_cleanup,True,global_core_bigrams
113,judy kantrowitz,135,35,0.2877,12164,judy kantrowitz,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,judy kantrowitz,final_keep,kept_after_final_cleanup,True,global_core_bigrams
114,william alanson,135,120,0.9865,12164,william alanson,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,william alanson,final_keep,kept_after_final_cleanup,True,global_core_bigrams
115,body image,134,58,0.4768,12164,body image,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,body image,final_keep,kept_after_final_cleanup,True,global_core_bigrams
116,harvard medical,134,130,1.0687,12164,harvard medical,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,harvard medical,final_keep,kept_after_final_cleanup,True,global_core_bigrams
117,donnel stern,134,39,0.3206,12164,donnel stern,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,donnel stern,final_keep,kept_after_final_cleanup,True,global_core_bigrams
118,child adolescent,133,103,0.8468,12164,child adolescent,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,child adolescent,final_keep,kept_after_final_cleanup,True,global_core_bigrams
119,unconscious fantasies,133,93,0.7646,12164,unconscious fantasies,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,unconscious fantasies,final_keep,kept_after_final_cleanup,True,global_core_bigrams
120,fred busch,133,34,0.2795,12164,fred busch,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,fred busch,final_keep,kept_after_final_cleanup,True,global_core_bigrams
122,sense self,132,102,0.8385,12164,sense self,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,sense self,final_keep,kept_after_final_cleanup,True,global_core_bigrams
123,ego superego,131,112,0.9207,12164,ego superego,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,ego superego,final_keep,kept_after_final_cleanup,True,global_core_bigrams
124,internal object,131,88,0.7234,12164,internal object,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,internal object,final_keep,kept_after_final_cleanup,True,global_core_bigrams
125,common ground,130,62,0.5097,12164,common ground,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,common ground,final_keep,kept_after_final_cleanup,True,global_core_bigrams
126,world war,129,110,0.9043,12164,world war,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,world war,final_keep,kept_after_final_cleanup,True,global_core_bigrams
127,john steiner,129,35,0.2877,12164,john steiner,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,john steiner,final_keep,kept_after_final_cleanup,True,global_core_bigrams
128,carried out,128,123,1.0112,12164,carried out,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,carried out,final_keep,kept_after_final_cleanup,True,global_core_bigrams
129,jacob arlow,128,40,0.3288,12164,jacob arlow,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,jacob arlow,final_keep,kept_after_final_cleanup,True,global_core_bigrams
130,defense mechanisms,128,65,0.5344,12164,defense mechanisms,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,defense mechanisms,final_keep,kept_after_final_cleanup,True,global_core_bigrams
131,defence against,127,95,0.781,12164,defence against,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,defence against,final_keep,kept_after_final_cleanup,True,global_core_bigrams
134,eating disorders,127,49,0.4028,12164,eating disorders,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,eating disorders,final_keep,kept_after_final_cleanup,True,global_core_bigrams
135,even though,126,116,0.9536,12164,even though,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,even though,final_keep,kept_after_final_cleanup,True,global_core_bigrams
136,infantile sexuality,123,68,0.559,12164,infantile sexuality,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,infantile sexuality,final_keep,kept_after_final_cleanup,True,global_core_bigrams
137,symptom formation,123,51,0.4193,12164,symptom formation,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,symptom formation,final_keep,kept_after_final_cleanup,True,global_core_bigrams
138,submitted publication,123,123,1.0112,12164,submitted publication,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,submitted publication,final_keep,kept_after_final_cleanup,True,global_core_bigrams
139,robert stolorow,123,34,0.2795,12164,robert stolorow,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,robert stolorow,final_keep,kept_after_final_cleanup,True,global_core_bigrams
140,negative therapeutic,122,59,0.485,12164,negative therapeutic,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,negative therapeutic,final_keep,kept_after_final_cleanup,True,global_core_bigrams
141,reality testing,122,78,0.6412,12164,reality testing,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,reality testing,final_keep,kept_after_final_cleanup,True,global_core_bigrams
142,castration complex,121,57,0.4686,12164,castration complex,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,castration complex,final_keep,kept_after_final_cleanup,True,global_core_bigrams
143,states mind,121,88,0.7234,12164,states mind,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,states mind,final_keep,kept_after_final_cleanup,True,global_core_bigrams
144,narcissistic personality,121,61,0.5015,12164,narcissistic personality,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,narcissistic personality,final_keep,kept_after_final_cleanup,True,global_core_bigrams
145,sexual abuse,121,71,0.5837,12164,sexual abuse,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,sexual abuse,final_keep,kept_after_final_cleanup,True,global_core_bigrams
146,professional psychology,121,39,0.3206,12164,professional psychology,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,professional psychology,final_keep,kept_after_final_cleanup,True,global_core_bigrams
147,stephen hartman,121,43,0.3535,12164,stephen hartman,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,stephen hartman,final_keep,kept_after_final_cleanup,True,global_core_bigrams
148,british psycho-analytical,120,74,0.6084,12164,british psycho-analytical,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,british psycho-analytical,final_keep,kept_after_final_cleanup,True,global_core_bigrams
149,well known,119,115,0.9454,12164,well known,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,well known,final_keep,kept_after_final_cleanup,True,global_core_bigrams
150,put forward,119,114,0.9372,12164,put forward,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,put forward,final_keep,kept_after_final_cleanup,True,global_core_bigrams
151,comcast net,119,115,0.9454,12164,comcast net,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,comcast net,final_keep,kept_after_final_cleanup,True,global_core_bigrams
152,attempt made,118,114,0.9372,12164,attempt made,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,attempt made,final_keep,kept_after_final_cleanup,True,global_core_bigrams
154,castration anxiety,118,81,0.6659,12164,castration anxiety,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,castration anxiety,final_keep,kept_after_final_cleanup,True,global_core_bigrams
155,essay prize,118,38,0.3124,12164,essay prize,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,essay prize,final_keep,kept_after_final_cleanup,True,global_core_bigrams
156,adult attachment,118,53,0.4357,12164,adult attachment,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,adult attachment,final_keep,kept_after_final_cleanup,True,global_core_bigrams
158,human beings,114,106,0.8714,12164,human beings,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,human beings,final_keep,kept_after_final_cleanup,True,global_core_bigrams
159,great deal,113,109,0.8961,12164,great deal,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,great deal,final_keep,kept_after_final_cleanup,True,global_core_bigrams
160,life death,113,86,0.707,12164,life death,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,life death,final_keep,kept_after_final_cleanup,True,global_core_bigrams
161,mental states,113,81,0.6659,12164,mental states,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,mental states,final_keep,kept_after_final_cleanup,True,global_core_bigrams
162,joseph sandler,113,39,0.3206,12164,joseph sandler,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,joseph sandler,final_keep,kept_after_final_cleanup,True,global_core_bigrams
163,ann arbor,113,106,0.8714,12164,ann arbor,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,ann arbor,final_keep,kept_after_final_cleanup,True,global_core_bigrams
164,aires argentina,113,83,0.6823,12164,aires argentina,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,aires argentina,final_keep,kept_after_final_cleanup,True,global_core_bigrams
166,boundary violations,113,40,0.3288,12164,boundary violations,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,boundary violations,final_keep,kept_after_final_cleanup,True,global_core_bigrams
169,michael balint,112,33,0.2713,12164,michael balint,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,michael balint,final_keep,kept_after_final_cleanup,True,global_core_bigrams
170,internal world,112,94,0.7728,12164,internal world,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,internal world,final_keep,kept_after_final_cleanup,True,global_core_bigrams
172,andr green,112,47,0.3864,12164,andr green,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,andr green,final_keep,kept_after_final_cleanup,True,global_core_bigrams
174,charles brenner,111,37,0.3042,12164,charles brenner,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,charles brenner,final_keep,kept_after_final_cleanup,True,global_core_bigrams
176,hanna segal,110,33,0.2713,12164,hanna segal,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,hanna segal,final_keep,kept_after_final_cleanup,True,global_core_bigrams
177,steven levy,110,29,0.2384,12164,steven levy,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,steven levy,final_keep,kept_after_final_cleanup,True,global_core_bigrams
178,male female,109,75,0.6166,12164,male female,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,male female,final_keep,kept_after_final_cleanup,True,global_core_bigrams
179,ralph greenson,109,30,0.2466,12164,ralph greenson,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,ralph greenson,final_keep,kept_after_final_cleanup,True,global_core_bigrams
180,hans loewald,109,32,0.2631,12164,hans loewald,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,hans loewald,final_keep,kept_after_final_cleanup,True,global_core_bigrams
181,editorial board,109,100,0.8221,12164,editorial board,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,editorial board,final_keep,kept_after_final_cleanup,True,global_core_bigrams
182,potential space,109,49,0.4028,12164,potential space,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,potential space,final_keep,kept_after_final_cleanup,True,global_core_bigrams
183,stanley coen,109,30,0.2466,12164,stanley coen,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,stanley coen,final_keep,kept_after_final_cleanup,True,global_core_bigrams
184,therapeutic reaction,108,45,0.3699,12164,therapeutic reaction,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,therapeutic reaction,final_keep,kept_after_final_cleanup,True,global_core_bigrams
185,took place,106,102,0.8385,12164,took place,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,took place,final_keep,kept_after_final_cleanup,True,global_core_bigrams
188,giuseppe civitarese,106,32,0.2631,12164,giuseppe civitarese,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,giuseppe civitarese,final_keep,kept_after_final_cleanup,True,global_core_bigrams
189,covid pandemic,106,62,0.5097,12164,covid pandemic,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,covid pandemic,final_keep,kept_after_final_cleanup,True,global_core_bigrams
190,psychic life,105,87,0.7152,12164,psychic life,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,psychic life,final_keep,kept_after_final_cleanup,True,global_core_bigrams
192,american psychological,105,92,0.7563,12164,american psychological,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,american psychological,final_keep,kept_after_final_cleanup,True,global_core_bigrams
