term_norm_for_refinement,refined_audit_category,refined_audit_reason,include_in_refined_semantic_review,manual_override,manual_override_note
know,generic_discourse_language,generic_discourse_rule,False,,
later,generic_discourse_language,generic_discourse_rule,False,,
less,generic_discourse_language,generic_discourse_rule,False,,
life,generic_discourse_language,generic_discourse_rule,False,,
long,generic_discourse_language,generic_discourse_rule,False,,
made,generic_discourse_language,generic_discourse_rule,False,,
make,generic_discourse_language,generic_discourse_rule,False,,
must,generic_discourse_language,generic_discourse_rule,False,,
need,generic_discourse_language,generic_discourse_rule,False,,
out,generic_discourse_language,generic_discourse_rule,False,,
over,generic_discourse_language,generic_discourse_rule,False,,
over time,generic_discourse_language,generic_discourse_rule,False,,
own,generic_discourse_language,generic_discourse_rule,False,,
part,generic_discourse_language,generic_discourse_rule,False,,
part author,generic_discourse_language,all_tokens_generic_or_background,False,,
perspective,generic_discourse_language,generic_discourse_rule,False,,
perspectives,generic_discourse_language,generic_discourse_rule,False,,
place,generic_discourse_language,generic_discourse_rule,False,,
point,generic_discourse_language,generic_discourse_rule,False,,
point out,generic_discourse_language,generic_discourse_rule,False,,
point view,generic_discourse_language,generic_discourse_rule,False,,
points,generic_discourse_language,generic_discourse_rule,False,,
points out,generic_discourse_language,generic_discourse_rule,False,,
points view,generic_discourse_language,generic_discourse_rule,False,,
problem,generic_discourse_language,generic_discourse_rule,False,,
problems,generic_discourse_language,generic_discourse_rule,False,,
qualitative study,generic_discourse_language,all_tokens_generic_or_background,False,,
role,generic_discourse_language,generic_discourse_rule,False,,
roles,generic_discourse_language,generic_discourse_rule,False,,
seen,generic_discourse_language,generic_discourse_rule,False,,
special,generic_discourse_language,generic_discourse_rule,False,,
still,generic_discourse_language,generic_discourse_rule,False,,
subject,generic_discourse_language,generic_discourse_rule,False,,
subjects,generic_discourse_language,generic_discourse_rule,False,,
take,generic_discourse_language,generic_discourse_rule,False,,
take place,generic_discourse_language,generic_discourse_rule,False,,
takes place,generic_discourse_language,generic_discourse_rule,False,,
time,generic_discourse_language,generic_discourse_rule,False,,
time time,generic_discourse_language,generic_discourse_rule,False,,
very,generic_discourse_language,generic_discourse_rule,False,,
view,generic_discourse_language,generic_discourse_rule,False,,
way,generic_discourse_language,generic_discourse_rule,False,,
ways,generic_discourse_language,generic_discourse_rule,False,,
well,generic_discourse_language,generic_discourse_rule,False,,
whether,generic_discourse_language,generic_discourse_rule,False,,
yet,generic_discourse_language,generic_discourse_rule,False,,
con,non_english_function_word,non_english_function_word_rule,False,,
dans,non_english_function_word,non_english_function_word_rule,False,,
dans les,non_english_function_word,non_english_function_word_rule,False,,
das,non_english_function_word,non_english_function_word_rule,False,,
del,non_english_function_word,non_english_function_word_rule,False,,
della,non_english_function_word,non_english_function_word_rule,False,,
delle,non_english_function_word,non_english_function_word_rule,False,,
dem,non_english_function_word,non_english_function_word_rule,False,,
den,non_english_function_word,non_english_function_word_rule,False,,
der,non_english_function_word,non_english_function_word_rule,False,,
des,non_english_function_word,non_english_function_word_rule,False,,
die,non_english_function_word,non_english_function_word_rule,False,,
die der,non_english_function_word,non_english_function_word_rule,False,,
ein,non_english_function_word,non_english_function_word_rule,False,,
eine,non_english_function_word,non_english_function_word_rule,False,,
einer,non_english_function_word,non_english_function_word_rule,False,,
las,non_english_function_word,non_english_function_word_rule,False,,
les,non_english_function_word,non_english_function_word_rule,False,,
los,non_english_function_word,non_english_function_word_rule,False,,
para,non_english_function_word,non_english_function_word_rule,False,,
por,non_english_function_word,non_english_function_word_rule,False,,
pour,non_english_function_word,non_english_function_word_rule,False,,
sur,non_english_function_word,non_english_function_word_rule,False,,
sur les,non_english_function_word,non_english_function_word_rule,False,,
una,non_english_function_word,non_english_function_word_rule,False,,
und,non_english_function_word,non_english_function_word_rule,False,,
und der,non_english_function_word,non_english_function_word_rule,False,,
und die,non_english_function_word,non_english_function_word_rule,False,,
une,non_english_function_word,non_english_function_word_rule,False,,
anne,personal_name_noise,personal_name_rule,False,,
david,personal_name_noise,personal_name_rule,False,,
frank,personal_name_noise,personal_name_rule,False,,
jessica,personal_name_noise,personal_name_rule,False,,
john,personal_name_noise,personal_name_rule,False,,
joseph,personal_name_noise,personal_name_rule,False,,
lewis,personal_name_noise,personal_name_rule,False,,
mark,personal_name_noise,personal_name_rule,False,,
michael,personal_name_noise,personal_name_rule,False,,
paul,personal_name_noise,personal_name_rule,False,,
philip,personal_name_noise,personal_name_rule,False,,
richard,personal_name_noise,personal_name_rule,False,,
robert,personal_name_noise,personal_name_rule,False,,
stephen,personal_name_noise,personal_name_rule,False,,
william,personal_name_noise,personal_name_rule,False,,
