rank,term,count,doc_count,doc_pct,n_docs_base,term_norm_for_refinement,refined_audit_category,refined_audit_reason,include_in_refined_semantic_review,refinement_source_table,manual_override,manual_override_note
69,states,1677,1071,8.8047,12164,states,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
71,thought,1658,1197,9.8405,12164,thought,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
72,function,1657,1053,8.6567,12164,function,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
73,form,1642,1269,10.4324,12164,form,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
74,relation,1607,1131,9.2979,12164,relation,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
75,ideas,1601,1182,9.7172,12164,ideas,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
77,emotional,1589,1007,8.2785,12164,emotional,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
78,american,1584,991,8.147,12164,american,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
79,identification,1573,788,6.4781,12164,identification,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
81,countertransference,1569,749,6.1575,12164,countertransference,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
91,attachment,1498,423,3.4775,12164,attachment,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
93,against,1459,1099,9.0349,12164,against,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
95,relations,1456,882,7.2509,12164,relations,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
96,language,1456,709,5.8287,12164,language,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
97,death,1452,741,6.0917,12164,death,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
98,meaning,1447,974,8.0072,12164,meaning,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
99,love,1446,681,5.5985,12164,love,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
100,now,1445,1141,9.3801,12164,now,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
101,theories,1444,926,7.6126,12164,theories,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
103,terms,1409,1111,9.1335,12164,terms,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
104,psycho-analysis,1409,632,5.1957,12164,psycho-analysis,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
105,internal,1398,940,7.7277,12164,internal,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
106,narcissistic,1372,681,5.5985,12164,narcissistic,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
107,conflict,1370,828,6.807,12164,conflict,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
108,here,1365,1128,9.2733,12164,here,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
109,psychiatry,1359,981,8.0648,12164,psychiatry,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
111,personal,1343,978,8.0401,12164,personal,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
114,past,1340,929,7.6373,12164,past,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
115,fact,1328,1093,8.9855,12164,fact,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
117,man,1319,807,6.6343,12164,man,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
119,structure,1311,896,7.366,12164,structure,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
122,field,1304,888,7.3002,12164,field,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
123,identity,1297,616,5.0641,12164,identity,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
125,objects,1268,730,6.0013,12164,objects,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
127,sexuality,1261,580,4.7682,12164,sexuality,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
128,issues,1257,967,7.9497,12164,issues,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
130,since,1247,1054,8.6649,12164,since,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
131,knowledge,1243,880,7.2345,12164,knowledge,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
133,attention,1238,1083,8.9033,12164,attention,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
134,capacity,1237,898,7.3824,12164,capacity,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
135,course,1234,1055,8.6731,12164,course,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
136,character,1231,696,5.7218,12164,character,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
137,people,1229,864,7.1029,12164,people,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
138,international,1220,760,6.2479,12164,international,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
139,functioning,1216,781,6.4206,12164,functioning,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
140,primary,1200,750,6.1657,12164,primary,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
141,relationships,1200,806,6.6261,12164,relationships,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
142,order,1199,1043,8.5745,12164,order,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
143,childhood,1195,763,6.2726,12164,childhood,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
144,adult,1188,739,6.0753,12164,adult,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
145,context,1181,945,7.7688,12164,context,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
147,following,1176,1032,8.4841,12164,following,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
148,female,1170,488,4.0118,12164,female,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
149,implications,1170,831,6.8316,12164,implications,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
150,scientific,1166,724,5.952,12164,scientific,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
151,psychodynamic,1166,487,4.0036,12164,psychodynamic,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
152,himself,1164,865,7.1111,12164,himself,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
153,fantasy,1161,586,4.8175,12164,fantasy,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
154,affect,1157,607,4.9901,12164,affect,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
155,factors,1149,782,6.4288,12164,factors,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
156,issue,1146,745,6.1246,12164,issue,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
158,attempt,1129,950,7.8099,12164,attempt,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
159,loss,1121,667,5.4834,12164,loss,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
160,father,1120,573,4.7106,12164,father,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
161,contribution,1117,702,5.7711,12164,contribution,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
162,medical,1115,777,6.3877,12164,medical,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
163,gender,1114,440,3.6172,12164,gender,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
165,feelings,1108,792,6.511,12164,feelings,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
166,play,1108,633,5.2039,12164,play,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
167,phenomena,1105,786,6.4617,12164,phenomena,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
168,drive,1099,690,5.6725,12164,drive,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
169,papers,1096,693,5.6971,12164,papers,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
171,health,1084,674,5.5409,12164,health,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
172,symptoms,1082,683,5.6149,12164,symptoms,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
173,little,1077,791,6.5028,12164,little,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
175,action,1074,620,5.097,12164,action,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
176,psychoanalysts,1073,805,6.6179,12164,psychoanalysts,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
177,fantasies,1060,570,4.686,12164,fantasies,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
179,person,1058,741,6.0917,12164,person,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
181,interest,1049,870,7.1523,12164,interest,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
182,influence,1048,772,6.3466,12164,influence,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
183,women,1046,498,4.094,12164,women,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
184,come,1045,841,6.9138,12164,come,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
185,depression,1045,365,3.0007,12164,depression,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
189,space,1036,543,4.464,12164,space,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
190,forms,1031,792,6.511,12164,forms,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
191,psycho-analytic,1028,500,4.1105,12164,psycho-analytic,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
192,journal,1026,632,5.1957,12164,journal,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
193,external,1025,726,5.9684,12164,external,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
194,words,1023,684,5.6232,12164,words,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
198,changes,994,697,5.73,12164,changes,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
201,disorders,985,497,4.0858,12164,disorders,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
203,means,984,834,6.8563,12164,means,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
205,position,982,731,6.0095,12164,position,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
206,particularly,980,890,7.3167,12164,particularly,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
207,response,978,634,5.2121,12164,response,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
208,great,977,810,6.659,12164,great,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
210,psychotic,974,451,3.7077,12164,psychotic,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
212,conflicts,965,663,5.4505,12164,conflicts,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
213,formation,962,568,4.6695,12164,formation,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
214,neurosis,960,491,4.0365,12164,neurosis,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
215,always,959,801,6.585,12164,always,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
216,communication,959,618,5.0806,12164,communication,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
217,superego,959,416,3.4199,12164,superego,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
219,think,954,741,6.0917,12164,think,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
220,science,952,555,4.5626,12164,science,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
222,see,946,771,6.3384,12164,see,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
223,accepted,941,899,7.3907,12164,accepted,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
225,family,937,545,4.4804,12164,family,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
226,infant,937,496,4.0776,12164,infant,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
227,young,934,610,5.0148,12164,young,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
228,memory,933,474,3.8967,12164,memory,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
229,functions,928,656,5.393,12164,functions,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
230,traumatic,921,551,4.5298,12164,traumatic,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
231,contributions,918,659,5.4176,12164,contributions,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
232,impact,917,679,5.582,12164,impact,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
233,published,915,770,6.3302,12164,published,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
234,narcissism,910,366,3.0089,12164,narcissism,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
235,oedipal,908,501,4.1187,12164,oedipal,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
236,basic,906,685,5.6314,12164,basic,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
237,help,904,777,6.3877,12164,help,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
238,disorder,902,433,3.5597,12164,disorder,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
239,mechanisms,901,575,4.7271,12164,mechanisms,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
240,find,898,784,6.4452,12164,find,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
241,number,897,781,6.4206,12164,number,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
242,observations,897,619,5.0888,12164,observations,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
243,end,888,738,6.0671,12164,end,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
244,idea,887,693,5.6971,12164,idea,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
245,parents,885,538,4.4229,12164,parents,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
246,dynamic,884,590,4.8504,12164,dynamic,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
247,borderline,880,348,2.8609,12164,borderline,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
248,cannot,879,755,6.2068,12164,cannot,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
249,fear,878,510,4.1927,12164,fear,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
250,shall,870,560,4.6037,12164,shall,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
251,organization,870,507,4.168,12164,organization,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
252,focus,866,768,6.3137,12164,focus,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
253,infantile,865,521,4.2831,12164,infantile,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
254,able,865,759,6.2397,12164,able,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
256,writing,864,507,4.168,12164,writing,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
257,something,863,645,5.3025,12164,something,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
258,oedipus,862,355,2.9184,12164,oedipus,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
261,future,854,586,4.8175,12164,future,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
262,term,853,605,4.9737,12164,term,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
264,interpersonal,851,491,4.0365,12164,interpersonal,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
265,member,850,648,5.3272,12164,member,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
266,inner,847,583,4.7928,12164,inner,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
267,common,847,654,5.3765,12164,common,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
268,seems,845,734,6.0342,12164,seems,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
269,phase,842,482,3.9625,12164,phase,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
270,account,839,734,6.0342,12164,account,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
271,differences,834,611,5.023,12164,differences,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
272,normal,834,562,4.6202,12164,normal,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
274,too,833,678,5.5738,12164,too,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
275,wish,832,589,4.8422,12164,wish,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
276,level,832,628,5.1628,12164,level,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
279,resistance,821,478,3.9296,12164,resistance,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
281,aggression,819,367,3.0171,12164,aggression,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
282,contact,814,660,5.4258,12164,contact,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
283,beyond,814,610,5.0148,12164,beyond,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
284,cultural,812,511,4.2009,12164,cultural,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
285,setting,812,519,4.2667,12164,setting,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
287,developed,810,747,6.1411,12164,developed,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
288,real,809,599,4.9244,12164,real,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
289,just,808,685,5.6314,12164,just,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
291,defence,804,427,3.5104,12164,defence,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
292,private,801,711,5.8451,12164,private,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
294,psychoanalyst,799,588,4.8339,12164,psychoanalyst,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
295,essay,798,440,3.6172,12164,essay,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
296,primitive,798,521,4.2831,12164,primitive,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
297,defensive,796,525,4.316,12164,defensive,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
298,period,795,626,5.1463,12164,period,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
299,thoughts,794,513,4.2174,12164,thoughts,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
300,kind,794,677,5.5656,12164,kind,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
