keyword_concept_en_expanded,keyword_concept_polish_expanded,keyword_semantic_expanded_id,n_records
hospitalization,hospitalizacja,app_sem_exp_0637,2
short-term,krótkoterminowy,app_sem_exp_1271,2
history of psychiatry,historia psychiatrii,app_sem_exp_0628,2
parents,rodzice,app_sem_exp_0959,2
hypnosis,hipnoza,app_sem_exp_0651,2
self-regulation,ja-regulacja,app_sem_exp_1235,2
icd-11,ICD-11,app_sem_exp_0658,2
sexual identity,tożsamość seksualna,app_sem_exp_1259,2
sleep disorder,zaburzenie snu,app_sem_exp_1280,2
sexual dysfunction,dysfunkcja seksualna,app_sem_exp_1257,2
cognitive errors,błędy poznawcze,app_sem_exp_0254,2
signal detection,detekcja sygnału,app_sem_exp_1277,2
humor style,styl humoru,app_sem_exp_0643,2
identity,tożsamość,app_sem_exp_0661,2
cognitive control,kontrola poznawcza,app_sem_exp_0251,2
sleep disturbance,zaburzenie snu,app_sem_exp_1281,2
cognitive,poznawczy,app_sem_exp_0246,2
hypertension,nadciśnienie,app_sem_exp_0646,2
pregnancy,ciąża,app_sem_exp_1041,2
psychotherapy integration,integracja psychoterapii,app_sem_exp_1141,2
dysfunctional attitude,dysfunkcjonalna postawa,app_sem_exp_0424,2
psychotherapeutic target,psychotherapeutic target,app_sem_exp_1138,2
early maladaptive schemas,wczesne nieadaptacyjne schematy,app_sem_exp_0431,2
flood,powódź,app_sem_exp_0550,2
eat-26,EAT-26,app_sem_exp_0436,2
prevention,profilaktyka,app_sem_exp_1046,2
first-episode,pierwszy epizod,app_sem_exp_0543,2
psychometric properties,właściwości psychometryczne,app_sem_exp_1122,2
editors,redaktorzy,app_sem_exp_0448,2
first-degree relatives,krewni pierwszego stopnia,app_sem_exp_0542,2
psychology,psychologia,app_sem_exp_1120,2
psychological well-being,dobrostan psychologiczny,app_sem_exp_1119,2
psychological symptom,psychologiczny objaw,app_sem_exp_1117,2
religiousness,religijność,app_sem_exp_1176,2
elderly,osoby starsze,app_sem_exp_0458,2
primary school,szkoła podstawowa,app_sem_exp_1053,2
fibromyalgia syndrome,zespół fibromialgii,app_sem_exp_0536,2
fear,strach,app_sem_exp_0532,2
emotional instability,niestabilność emocjonalna,app_sem_exp_0474,2
professional burnout,wypalenie zawodowe,app_sem_exp_1060,2
psychological assessment,ocena psychologiczna,app_sem_exp_1102,2
emotions,emocje,app_sem_exp_0482,2
epidemic,epidemia,app_sem_exp_0488,2
psychodermatology,psychodermatologia,app_sem_exp_1093,2
epilepsy,padaczka,app_sem_exp_0491,2
psychiatric ward,oddział psychiatryczny,app_sem_exp_1084,2
psychiatric rehabilitation,rehabilitacja psychiatryczna,app_sem_exp_1083,2
facial emotion,emocja mimiczna,app_sem_exp_0514,2
psoriasis,łuszczyca,app_sem_exp_1072,2
egosyntonicity,egosyntoniczność,app_sem_exp_0456,2
self-discrepancy,rozbieżność Ja,app_sem_exp_1226,2
self-criticism,samokrytycyzm,app_sem_exp_1225,2
self-compassion,samowspółczucie,app_sem_exp_1224,2
heart rate,częstość akcji serca,app_sem_exp_0619,2
counseling,poradnictwo,app_sem_exp_0322,2
counter-transference,przeciwprzeniesienie,app_sem_exp_0323,2
personality assessment,ocena osobowości,app_sem_exp_0991,2
cprs,CPRS,app_sem_exp_0329,2
secondary traumatic stress,wtórny stres traumatyczny,app_sem_exp_1214,2
health behavior,zachowanie zdrowotne,app_sem_exp_0610,2
culture,kultura,app_sem_exp_0340,2
curriculum,program nauczania,app_sem_exp_0341,2
gut-brain axis,oś jelitowo-mózgowa,app_sem_exp_0603,2
gut microbiota,mikrobiota jelitowa,app_sem_exp_0602,2
phenomenology,fenomenologia,app_sem_exp_1003,2
formulation,formułowanie przypadku,app_sem_exp_0559,2
philosophy,filozofia,app_sem_exp_1007,2
deficit,deficyt,app_sem_exp_0361,2
physical activity,aktywność fizyczna,app_sem_exp_1011,2
delusion,urojenie,app_sem_exp_0365,2
resistance,opór,app_sem_exp_1187,2
deportation,deportacja,app_sem_exp_0371,2
residential psychiatric treatment,całodobowe leczenie psychiatryczne,app_sem_exp_1183,2
police officers,funkcjonariusze policji,app_sem_exp_1020,2
polish-jewish relations,relacje polsko-żydowskie,app_sem_exp_1023,2
relationships,relacje,app_sem_exp_1169,2
differential diagnosis,diagnoza różnicowa,app_sem_exp_0395,2
functional disorder,zaburzenie funkcjonalne,app_sem_exp_0566,2
from,FROM,app_sem_exp_0564,2
dopamine,dopamina,app_sem_exp_0408,2
dramatology,dramatologia,app_sem_exp_0410,2
davanloo,Davanloo,app_sem_exp_0350,2
neuropsychological tests,testy neuropsychologiczne,app_sem_exp_0878,2
therapeutic relationship,relacja terapeutyczna,app_sem_exp_1389,2
learning,uczenie się,app_sem_exp_0747,2
therapeutic alliance,przymierze terapeutyczne,app_sem_exp_1385,2
autonomy,autonomia,app_sem_exp_0120,2
balint group,grupa Balinta,app_sem_exp_0121,2
neurotic symptom,nerwicowy objaw,app_sem_exp_0885,2
kon-2006 neurotic personality questionnaire,kwestionariusz osobowości nerwicowej KON-2006,app_sem_exp_0740,2
neuroticism,neurotyczność,app_sem_exp_0886,2
binge eating disorder,zaburzenie z napadami objadania się,app_sem_exp_0129,2
job satisfaction,satysfakcja z pracy,app_sem_exp_0733,2
biopsychosocial,biopsychospołeczny,app_sem_exp_0137,2
ccrt,CCRT,app_sem_exp_0193,2
temperament,temperament,app_sem_exp_1364,2
tardive dyskinesia,dyskineza późna,app_sem_exp_1362,2
body composition,skład ciała,app_sem_exp_0149,2
body mass index,wskaźnik masy ciała,app_sem_exp_0151,2
systemic family consultation,systemowa konsultacja rodzinna,app_sem_exp_1357,2
brca1,BRCA1,app_sem_exp_0161,2
suffering,cierpienie,app_sem_exp_1344,2
cannabis,konopie indyjskie,app_sem_exp_0178,2
intensive,intensywny,app_sem_exp_0703,2
cardiomyopathy,kardiomiopatia,app_sem_exp_0184,2
stroke,udar,app_sem_exp_1331,2
integrative model,model integracyjny,app_sem_exp_0700,2
temperamental trait,cecha temperamentu,app_sem_exp_1366,2
abuse,nadużycie,app_sem_exp_0005,2
type 2 diabetes mellitus,cukrzyca typu 2,app_sem_exp_1421,2
metaphor,metafora,app_sem_exp_0815,2
mentalization,mentalizacja,app_sem_exp_0810,2
well-being,dobrostan,app_sem_exp_1458,2
men,mężczyźni,app_sem_exp_0804,2
minority stress,stres mniejszościowy,app_sem_exp_0831,2
medication adherence,adherencja farmakoterapeutyczna,app_sem_exp_0799,2
uhr,UHR,app_sem_exp_1423,2
working memory deficit,deficyt pamięci roboczej,app_sem_exp_1468,2
medical students,studenci medycyny,app_sem_exp_0796,2
type 1 diabetes,cukrzyca typu 1,app_sem_exp_1418,2
attachment theory,teoria przywiązania,app_sem_exp_0097,2
medical course,kierunek medyczny,app_sem_exp_0788,2
affective disorder,zaburzenie afektywne,app_sem_exp_0031,2
adverse events,zdarzenia niepożądane,app_sem_exp_0026,2
anger control,kontrola złości,app_sem_exp_0055,2
anger expression,ekspresja złości,app_sem_exp_0056,2
adherence,adherencja,app_sem_exp_0015,2
adaptation,adaptacja,app_sem_exp_0010,2
myocardial infarction,zawał mięśnia sercowego,app_sem_exp_0861,2
nature connectedness,więź z naturą,app_sem_exp_0864,2
arts psychotherapy,psychoterapia przez sztukę,app_sem_exp_0084,2
long-term psychotherapy,psychoterapia długoterminowa,app_sem_exp_0760,2
transference,przeniesienie,app_sem_exp_1404,2
neurobiology,neurobiologia,app_sem_exp_0868,2
medical personnel,personel medyczny,app_sem_exp_0792,2
stigma,stygmatyzacja,app_sem_exp_1324,2
instagram,Instagram,app_sem_exp_0693,2
childlessness,bezdzietność,app_sem_exp_0210,2
classification,klasyfikacja,app_sem_exp_0224,2
online,online,app_sem_exp_0929,2
social skills,umiejętności społeczne,app_sem_exp_1298,2
oxidative stress,stres oksydacyjny,app_sem_exp_0941,2
methylphenidate,metylofenidat,app_sem_exp_0820,2
social network,sieć społeczna,app_sem_exp_1296,2
sociopathy,socjopatia,app_sem_exp_1303,2
cidi,CIDI,app_sem_exp_0222,2
multidisciplinary treatment,multidisciplinary leczenie,app_sem_exp_0857,1
multi-criteria,multi-criteria,app_sem_exp_0856,1
osteogenesis imperfect,osteogenesis imperfect,app_sem_exp_0938,1
prescription,prescription,app_sem_exp_1043,1
mr therapy,mr terapia,app_sem_exp_0855,1
preschool children,preschool dzieci,app_sem_exp_1042,1
parentification,parentification,app_sem_exp_0955,1
motor inhibition,motor inhibition,app_sem_exp_0854,1
pretherapy waiting,pretherapy waiting,app_sem_exp_1044,1
motivational interviewing,motivational interviewing,app_sem_exp_0853,1
multiple sclerosis,multiple sclerosis,app_sem_exp_0858,1
motivation to exercise,motivation to exercise,app_sem_exp_0851,1
mother-adult relations,mother-dorosły relations,app_sem_exp_0849,1
mortality,mortality,app_sem_exp_0848,1
osteology,osteology,app_sem_exp_0939,1
overdoses,overdoses,app_sem_exp_0940,1
prevention and control,profilaktyka and control,app_sem_exp_1047,1
more,more,app_sem_exp_0847,1
preventive interventions,preventive interventions,app_sem_exp_1048,1
preventive methods,preventive methods,app_sem_exp_1049,1
moral emotions,moral emotions,app_sem_exp_0846,1
moral disgust,moral disgust,app_sem_exp_0845,1
moral agent,moral agent,app_sem_exp_0844,1
motivational aspects of treatment,motivational aspects of leczenie,app_sem_exp_0852,1
post-communist,post-communist,app_sem_exp_1031,1
neuropsychiatric disease,neuropsychiatric choroba,app_sem_exp_0873,1
neuromodulation,neuromodulation,app_sem_exp_0872,1
post-discharge,post-discharge,app_sem_exp_1032,1
neuroleptic treatment,neuroleptic leczenie,app_sem_exp_0871,1
parenting,rodzicielstwo,app_sem_exp_0956,1
neurofibromatosis 1,neurofibromatosis 1,app_sem_exp_0870,1
neurodevelopmental hypothesis,neurodevelopmental hypothesis,app_sem_exp_0869,1
online therapy,online terapia,app_sem_exp_0933,1
opioid stabilization,opioid stabilization,app_sem_exp_0934,1
oral care,oral care,app_sem_exp_0935,1
negative urgency,negative urgency,app_sem_exp_0867,1
organization,organization,app_sem_exp_0937,1
postpartum psychosis,postpartum psychosis,app_sem_exp_1036,1
postpartum stress disorder,postpartum stres zaburzenie,app_sem_exp_1037,1
negative affects,negative affects,app_sem_exp_0865,1
practicioner,practicioner,app_sem_exp_1038,1
preclinical stage,preclinical stage,app_sem_exp_1039,1
predictors,predictors,app_sem_exp_1040,1
organicity,organicity,app_sem_exp_0936,1
narcissism,narcissism,app_sem_exp_0863,1
myofascial pain,myofascial ból,app_sem_exp_0862,1
mood disorder questionnaire,mood zaburzenie kwestionariusz,app_sem_exp_0843,1
music therapy,music terapia,app_sem_exp_0860,1
multiple sclerosis (ms),multiple sclerosis (ms),app_sem_exp_0859,1
postmodernism,postmodernism,app_sem_exp_1035,1
mirror processes,mirror processes,app_sem_exp_0832,1
professionals working with people after traumatic experiences,professionals working with people after traumatyczny experiences,app_sem_exp_1062,1
mindful eating,mindful jedzenie,app_sem_exp_0829,1
panic,panika,app_sem_exp_0947,1
prolonged exposure,prolonged exposure,app_sem_exp_1063,1
prophylactic adnexectomy,prophylactic adnexectomy,app_sem_exp_1064,1
prophylactic mastectomy,prophylactic mastectomy,app_sem_exp_1065,1
military population,military population,app_sem_exp_0828,1
mild cognitive impairment,mild poznawczy impairment,app_sem_exp_0827,1
pair bonding,pair bonding,app_sem_exp_0944,1
migraine,migraine,app_sem_exp_0826,1
propofol,propofol,app_sem_exp_1066,1
mood,mood,app_sem_exp_0841,1
midwifery,midwifery,app_sem_exp_0825,1
prospective iu,prospective iu,app_sem_exp_1068,1
protocol compliance,protocol compliance,app_sem_exp_1069,1
midazolam,midazolam,app_sem_exp_0824,1
proton magnetic resonance spectroscopy,proton magnetic resonance spectroscopy,app_sem_exp_1070,1
psorasis,psorasis,app_sem_exp_1071,1
mid-adolescence,mid-adolescence,app_sem_exp_0823,1
microsphere galenics,microsphere galenics,app_sem_exp_0822,1
palliative care,palliative care,app_sem_exp_0945,1
psychiatric comorbidity,współchorobowość psychiatryczna,app_sem_exp_1076,1
pssi-persnlichkeits-stil-und strungs-inventar,pssi-persnlichkeits-stil-und strungs-inventar,app_sem_exp_1073,1
psychiatric care,psychiatryczny care,app_sem_exp_1074,1
psychiatric clinical care,psychiatryczny clinical care,app_sem_exp_1075,1
proprioception,proprioception,app_sem_exp_1067,1
parenthood,parenthood,app_sem_exp_0954,1
mood disorder,mood zaburzenie,app_sem_exp_0842,1
neuropsychiatric manifestations,neuropsychiatric manifestations,app_sem_exp_0874,1
preventive operations,preventive operations,app_sem_exp_1050,1
oxytocin,oxytocin,app_sem_exp_0942,1
monotherpen,monotherpen,app_sem_exp_0840,1
primary central nervous system lymphoma,primary central nervous system lymphoma,app_sem_exp_1051,1
models of delusions,models of delusions,app_sem_exp_0839,1
mobile phone,mobile phone,app_sem_exp_0838,1
primary health care,primary zdrowie care,app_sem_exp_1052,1
parental attitude,parental postawa,app_sem_exp_0953,1
primary school children,primary school dzieci,app_sem_exp_1054,1
professionals,professionals,app_sem_exp_1061,1
prion protein,prion protein,app_sem_exp_1055,1
mixed methods,mixed methods,app_sem_exp_0836,1
parasomnia,parasomnia,app_sem_exp_0952,1
prison,prison,app_sem_exp_1056,1
privacy policy,privacy policy,app_sem_exp_1057,1
misophonia,misophonia,app_sem_exp_0835,1
problematic internet use,problematic internet używanie,app_sem_exp_1058,1
parameters of mobilisation of the unconscious,parameters of mobilisation of the unconscious,app_sem_exp_0951,1
mismatch,mismatch,app_sem_exp_0834,1
process research,process badania,app_sem_exp_1059,1
misdiagnosis,misdiagnosis,app_sem_exp_0833,1
paper,paper,app_sem_exp_0950,1
panss,panss,app_sem_exp_0949,1
mixed state,mixed state,app_sem_exp_0837,1
personal autonomy,personal autonomy,app_sem_exp_0987,1
nurses,nurses,app_sem_exp_0911,1
pathogen disgust,pathogen disgust,app_sem_exp_0968,1
nuclear family functioning scale,nuclear rodzina functioning skala,app_sem_exp_0910,1
nssi,nssi,app_sem_exp_0909,1
novel therapy,novel terapia,app_sem_exp_0908,1
personal therapy,personal terapia,app_sem_exp_0988,1
older workers,older workers,app_sem_exp_0924,1
personal values,personal values,app_sem_exp_0989,1
nosology,nosology,app_sem_exp_0907,1
normative criteria,normative criteria,app_sem_exp_0906,1
normal weight,normal weight,app_sem_exp_0905,1
positive urgency,positive urgency,app_sem_exp_1030,1
personality belief questionnaire,osobowość belief kwestionariusz,app_sem_exp_0992,1
nonverbal and verbal communication,nonverbal and verbal communication,app_sem_exp_0903,1
olfactory obsessions,olfactory obsessions,app_sem_exp_0925,1
olfactory obsessions questionnaire,olfactory obsessions kwestionariusz,app_sem_exp_0926,1
personality oriented (reconstructive) psychotherapy,osobowość oriented (reconstructive) psychoterapia,app_sem_exp_0994,1
personality system interactions-psi,osobowość system interactions-psi,app_sem_exp_0995,1
nonadherence,nonadherence,app_sem_exp_0902,1
personality tests,osobowość tests,app_sem_exp_0996,1
non-competitive bodybuilding,non-competitive bodybuilding,app_sem_exp_0900,1
non-clinical sample,non-clinical sample,app_sem_exp_0899,1
personality traits changes,osobowość traits changes,app_sem_exp_0998,1
personality types,osobowość types,app_sem_exp_0999,1
pathlogical worry,pathlogical worry,app_sem_exp_0967,1
normal vaginal delivery,normal vaginal delivery,app_sem_exp_0904,1
patients,patients,app_sem_exp_0973,1
pathology,pathology,app_sem_exp_0972,1
patients age,patients age,app_sem_exp_0974,1
ocrds,ocrds,app_sem_exp_0922,1
patients' needs,patients' needs,app_sem_exp_0975,1
pax-6 gene,pax-6 gene,app_sem_exp_0976,1
occupational diseases,occupational diseases,app_sem_exp_0921,1
pathological traits,pathological traits,app_sem_exp_0971,1
occupational burnout,occupational wypalenie,app_sem_exp_0920,1
peer,peer,app_sem_exp_0977,1
peer support,peer wsparcie,app_sem_exp_0978,1
offenders,offenders,app_sem_exp_0923,1
penitentiary unit,penitentiary unit,app_sem_exp_0979,1
nutrition,nutrition,app_sem_exp_0912,1
obsessive-compulsive disorder (ocd),obsessive-compulsive disorder (ocd),app_sem_exp_0919,1
perceived control,perceived control,app_sem_exp_0981,1
perception,perception,app_sem_exp_0982,1
pathological skin picking,pathological skin picking,app_sem_exp_0970,1
perception of aggression,perception of agresja,app_sem_exp_0983,1
perception of illness,perception of illness,app_sem_exp_0984,1
periodontal health,periodontal zdrowie,app_sem_exp_0985,1
object relations,object relations,app_sem_exp_0917,1
pathological,pathological,app_sem_exp_0969,1
oab,oab,app_sem_exp_0915,1
o-life,o-życie,app_sem_exp_0914,1
person-oriented psychiatry,person-oriented psychiatria,app_sem_exp_0986,1
o-demethylvenlafaxine,o-demethylvenlafaxine,app_sem_exp_0913,1
people 60+,people 60+,app_sem_exp_0980,1
physiological phenomena,physiological phenomena,app_sem_exp_1015,1
passivity,passivity,app_sem_exp_0962,1
paroxetine,paroxetine,app_sem_exp_0961,1
neurotic personality,nerwicowy osobowość,app_sem_exp_0884,1
parkinson's disease,parkinson's choroba,app_sem_exp_0960,1
picture,picture,app_sem_exp_1016,1
neurotic disorders symptom,nerwicowy zaburzenia objaw,app_sem_exp_0883,1
piecewise multi-phase model,piecewise multi-phase model,app_sem_exp_1017,1
online e-diaries,online e-diaries,app_sem_exp_0930,1
plasma,plasma,app_sem_exp_1018,1
pmr,pmr,app_sem_exp_1019,1
neurotic conflict,nerwicowy conflict,app_sem_exp_0881,1
neurosis,neurosis,app_sem_exp_0880,1
nmda,nmda,app_sem_exp_0898,1
polish patriotism myths,polish patriotism myths,app_sem_exp_1022,1
online help,online help,app_sem_exp_0931,1
polymorphism,polymorphism,app_sem_exp_1024,1
online support,online wsparcie,app_sem_exp_0932,1
population norms,population norms,app_sem_exp_1025,1
parenting response,parenting response,app_sem_exp_0957,1
pornography,pornography,app_sem_exp_1026,1
positive affects,positive affects,app_sem_exp_1027,1
positive diagnosis of neurotic disorder,positive diagnoza of nerwicowy zaburzenie,app_sem_exp_1028,1
positive symptom,positive objaw,app_sem_exp_1029,1
neuropsychological symptom,neuropsychological objaw,app_sem_exp_0877,1
neuropsychological assessment,neuropsychological assessment,app_sem_exp_0876,1
neuropsychiatry,neuropsychiatry,app_sem_exp_0875,1
polish myths,polish myths,app_sem_exp_1021,1
paternalism,paternalism,app_sem_exp_0966,1
pharmacokinetics,pharmacokinetics,app_sem_exp_1000,1
nightmare sufferers,nightmare sufferers,app_sem_exp_0897,1
phenobarbital,phenobarbital,app_sem_exp_1002,1
paternal-fetal attachment,paternal-fetal przywiązanie,app_sem_exp_0965,1
night terror,night terror,app_sem_exp_0896,1
paternal prenatal bonding,paternal prenatal bonding,app_sem_exp_0964,1
nigeria,nigeria,app_sem_exp_0895,1
phenomenology of delusion,phenomenology of delusion,app_sem_exp_1004,1
newsletter 2,newsletter 2,app_sem_exp_0894,1
phenotypic features,phenotypic features,app_sem_exp_1005,1
philosophical therapy,philosophical terapia,app_sem_exp_1006,1
newsletter,newsletter,app_sem_exp_0893,1
physician-patient relation,physician-patient relation,app_sem_exp_1014,1
oligonucleotide microarray,oligonucleotide microarray,app_sem_exp_0927,1
neurotrophins,neurotrophins,app_sem_exp_0891,1
philosophy of life,philosophy of życie,app_sem_exp_1008,1
phlosophy,phlosophy,app_sem_exp_1009,1
