keyword_concept_polish_final,keyword_concept_polish_3d_aggregated,semantic_3d_action,semantic_3d_confidence,n_records,n_articles,example_raw_keywords
adverse effect,działania niepożądane i bezpieczeństwo leczenia,topic_family_aggregation,high,1,1,adverse effect
studenci,"dzieci, adolescenci i rodzina",topic_family_aggregation,high,4,4,students
bezdzietność,"dzieci, adolescenci i rodzina",topic_family_aggregation,high,2,2,childlessness
szkoła podstawowa,"dzieci, adolescenci i rodzina",topic_family_aggregation,high,2,2,Primary Schools | primary school
childbearing age kobiety,"dzieci, adolescenci i rodzina",topic_family_aggregation,high,1,1,childbearing age women
childbirth,"dzieci, adolescenci i rodzina",topic_family_aggregation,high,1,1,childbirth
co-dependent mothers,"dzieci, adolescenci i rodzina",topic_family_aggregation,high,1,1,co-dependent mothers
dzieciństwo adversity,"dzieci, adolescenci i rodzina",topic_family_aggregation,high,1,1,childhood adversity
grandparents,"dzieci, adolescenci i rodzina",topic_family_aggregation,high,1,1,grandparents
niemowlę,"dzieci, adolescenci i rodzina",topic_family_aggregation,high,1,1,infant
obserwacja niemowlęcia,"dzieci, adolescenci i rodzina",topic_family_aggregation,high,1,1,infant observation
parental postawa,"dzieci, adolescenci i rodzina",topic_family_aggregation,high,1,1,parental attitudes
parentyfikacja,"dzieci, adolescenci i rodzina",topic_family_aggregation,high,1,1,parentification
rodzicielstwo,"dzieci, adolescenci i rodzina",topic_family_aggregation,high,1,1,parenthood
school achievements,"dzieci, adolescenci i rodzina",topic_family_aggregation,high,1,1,school achievements
st. petersburg school of kliniczny psychology,"dzieci, adolescenci i rodzina",topic_family_aggregation,high,1,1,St. Petersburg School of Clinical Psychology
curriculum,edukacja medyczna i szkolenie,topic_family_aggregation,high,2,2,curriculum
uczenie się,edukacja medyczna i szkolenie,topic_family_aggregation,high,2,2,learning
e-learning,edukacja medyczna i szkolenie,topic_family_aggregation,high,1,1,e-learning
empatia,"emocje, afekt i regulacja emocji",topic_family_aggregation,high,6,6,empathy
inteligencja emocjonalna,"emocje, afekt i regulacja emocji",topic_family_aggregation,high,4,4,emotional intelligence
emocja recognition,"emocje, afekt i regulacja emocji",topic_family_aggregation,high,3,3,emotion recognition
emocja regulation,"emocje, afekt i regulacja emocji",topic_family_aggregation,high,3,3,emotion regulation
poczucie winy,"emocje, afekt i regulacja emocji",topic_family_aggregation,high,3,3,guilt
affective zaburzenie,"emocje, afekt i regulacja emocji",topic_family_aggregation,high,2,2,affective disorder | affective disorders
ekspresja złości,"emocje, afekt i regulacja emocji",topic_family_aggregation,high,2,2,anger expression
emocje,"emocje, afekt i regulacja emocji",topic_family_aggregation,high,2,2,emotions
facial emocja,"emocje, afekt i regulacja emocji",topic_family_aggregation,high,2,2,Facial emotion | facial emotion
kontrola złości,"emocje, afekt i regulacja emocji",topic_family_aggregation,high,2,2,anger control
niestabilność emocjonalna,"emocje, afekt i regulacja emocji",topic_family_aggregation,high,2,2,emotional instability
self-regulation,"emocje, afekt i regulacja emocji",topic_family_aggregation,high,2,2,self-regulation
strach,"emocje, afekt i regulacja emocji",topic_family_aggregation,high,2,2,fear
afekty negatywne,"emocje, afekt i regulacja emocji",topic_family_aggregation,high,1,1,Negative affects
afekty pozytywne,"emocje, afekt i regulacja emocji",topic_family_aggregation,high,1,1,Positive affects
affective,"emocje, afekt i regulacja emocji",topic_family_aggregation,high,1,1,affective
anhedonia change,"emocje, afekt i regulacja emocji",topic_family_aggregation,high,1,1,anhedonia change
anhedonia intensity,"emocje, afekt i regulacja emocji",topic_family_aggregation,high,1,1,anhedonia intensity
dream emocje,"emocje, afekt i regulacja emocji",topic_family_aggregation,high,1,1,dream emotions
emotional development,"emocje, afekt i regulacja emocji",topic_family_aggregation,high,1,1,emotional development
emotional disposition,"emocje, afekt i regulacja emocji",topic_family_aggregation,high,1,1,Emotional Disposition
emotional eating,"emocje, afekt i regulacja emocji",topic_family_aggregation,high,1,1,emotional eating
emotional labour,"emocje, afekt i regulacja emocji",topic_family_aggregation,high,1,1,emotional labour
emotional objaw,"emocje, afekt i regulacja emocji",topic_family_aggregation,high,1,1,emotional symptoms
emotional processes,"emocje, afekt i regulacja emocji",topic_family_aggregation,high,1,1,emotional processes
emotional reaction,"emocje, afekt i regulacja emocji",topic_family_aggregation,high,1,1,emotional reaction
emotional regulation,"emocje, afekt i regulacja emocji",topic_family_aggregation,high,1,1,emotional regulation
emotional state,"emocje, afekt i regulacja emocji",topic_family_aggregation,high,1,1,emotional state
emotional zaburzenie,"emocje, afekt i regulacja emocji",topic_family_aggregation,high,1,1,emotional disorders
empathy_,"emocje, afekt i regulacja emocji",topic_family_aggregation,high,1,1,Empathy_
moralny emocje,"emocje, afekt i regulacja emocji",topic_family_aggregation,high,1,1,moral emotions
nastrój,"emocje, afekt i regulacja emocji",topic_family_aggregation,high,1,1,mood
self-regulation competences,"emocje, afekt i regulacja emocji",topic_family_aggregation,high,1,1,self-regulation competences
shame,"emocje, afekt i regulacja emocji",topic_family_aggregation,high,1,1,shame
rozpowszechnienie,epidemiologia i rozpowszechnienie,topic_family_aggregation,high,4,4,prevalence
częstość akcji serca,epidemiologia i rozpowszechnienie,topic_family_aggregation,high,2,2,heart rate
epidemia,epidemiologia i rozpowszechnienie,topic_family_aggregation,high,2,2,epidemic
change in consultation frequency,epidemiologia i rozpowszechnienie,topic_family_aggregation,high,1,1,change in consultation frequency
frequency of comsumption of products,epidemiologia i rozpowszechnienie,topic_family_aggregation,high,1,1,frequency of comsumption of products
strategies of mapping,epidemiologia i rozpowszechnienie,topic_family_aggregation,high,1,1,strategies of mapping
code of ethics,"etyka, prawo i polityka zdrowotna",topic_family_aggregation,high,1,1,code of ethics
ethical aspects,"etyka, prawo i polityka zdrowotna",topic_family_aggregation,high,1,1,ethical aspects
ethical dilemmas,"etyka, prawo i polityka zdrowotna",topic_family_aggregation,high,1,1,ethical dilemmas
ethical issues,"etyka, prawo i polityka zdrowotna",topic_family_aggregation,high,1,1,Ethical Issues
ethics,"etyka, prawo i polityka zdrowotna",topic_family_aggregation,high,1,1,ethics
polityka prywatności,"etyka, prawo i polityka zdrowotna",topic_family_aggregation,high,1,1,Privacy policy
aleksytymia,farmakoterapia i leki psychotropowe,topic_family_aggregation,high,3,3,alexithymia
ból przewlekły,farmakoterapia i leki psychotropowe,topic_family_aggregation,high,3,3,Chronic Pain | chronic pain
terapia elektrowstrząsowa,farmakoterapia i leki psychotropowe,topic_family_aggregation,high,3,3,electroconvulsive therapy
Jerzy W. Aleksandrowicz,farmakoterapia i leki psychotropowe,topic_family_aggregation,high,1,1,Jerzy W. Aleksandrowicz
O-demetylowenlafaksyna,farmakoterapia i leki psychotropowe,topic_family_aggregation,high,1,1,O-demethylvenlafaxine
aripiprazole,farmakoterapia i leki psychotropowe,topic_family_aggregation,high,1,1,aripiprazole
drug,farmakoterapia i leki psychotropowe,topic_family_aggregation,high,1,1,drug
farmakokinetyka,farmakoterapia i leki psychotropowe,topic_family_aggregation,high,1,1,pharmacokinetics
indywidualne bariery przyjmowania leków,farmakoterapia i leki psychotropowe,topic_family_aggregation,high,1,1,individual barriers to taking medications
komisja lekarska,farmakoterapia i leki psychotropowe,topic_family_aggregation,high,1,1,medical commission
przewlekły choroba,farmakoterapia i leki psychotropowe,topic_family_aggregation,high,1,1,chronic disease
przewlekły fatigue,farmakoterapia i leki psychotropowe,topic_family_aggregation,high,1,1,chronic fatigue
przewlekły low backache,farmakoterapia i leki psychotropowe,topic_family_aggregation,high,1,1,chronic low backache
przewlekły mentally ill persons,farmakoterapia i leki psychotropowe,topic_family_aggregation,high,1,1,chronic mentally ill persons
przewlekły renal failure,farmakoterapia i leki psychotropowe,topic_family_aggregation,high,1,1,chronic renal failure
selective serotonin reuptake inhibitors (ssris),farmakoterapia i leki psychotropowe,topic_family_aggregation,high,1,1,selective serotonin reuptake inhibitors (SSRIs)
filozofia,"filozofia, fenomenologia i antropologia",topic_family_aggregation,high,3,3,Phlosophy | philosophy
fenomenologia,"filozofia, fenomenologia i antropologia",topic_family_aggregation,high,2,2,phenomenology
metafora,"filozofia, fenomenologia i antropologia",topic_family_aggregation,high,2,2,metaphor
kliniczny philosophy,"filozofia, fenomenologia i antropologia",topic_family_aggregation,high,1,1,clinical philosophy
metafory,"filozofia, fenomenologia i antropologia",topic_family_aggregation,high,1,1,metaphors
philosophical terapia,"filozofia, fenomenologia i antropologia",topic_family_aggregation,high,1,1,philosophical therapy
philosophy of życie,"filozofia, fenomenologia i antropologia",topic_family_aggregation,high,1,1,philosophy of life
teoria umysłu,funkcjonowanie poznawcze i neuropsychologia,topic_family_aggregation,high,3,3,theory of mind
błędy poznawcze,funkcjonowanie poznawcze i neuropsychologia,topic_family_aggregation,high,2,2,cognitive errors
poznawczy,funkcjonowanie poznawcze i neuropsychologia,topic_family_aggregation,high,2,2,cognitive
poznawczy control,funkcjonowanie poznawcze i neuropsychologia,topic_family_aggregation,high,2,2,cognitive control
poznawczy appraisal,funkcjonowanie poznawcze i neuropsychologia,topic_family_aggregation,high,1,1,cognitive appraisal
poznawczy approach,funkcjonowanie poznawcze i neuropsychologia,topic_family_aggregation,high,1,1,cognitive approach
poznawczy biases,funkcjonowanie poznawcze i neuropsychologia,topic_family_aggregation,high,1,1,cognitive biases
poznawczy dysmetria,funkcjonowanie poznawcze i neuropsychologia,topic_family_aggregation,high,1,1,Cognitive Dysmetria
poznawczy flexibility,funkcjonowanie poznawcze i neuropsychologia,topic_family_aggregation,high,1,1,cognitive flexibility
poznawczy inhibition,funkcjonowanie poznawcze i neuropsychologia,topic_family_aggregation,high,1,1,cognitive inhibition
poznawczy processing terapia,funkcjonowanie poznawcze i neuropsychologia,topic_family_aggregation,high,1,1,Cognitive Processing Therapy
poznawczy restraint,funkcjonowanie poznawcze i neuropsychologia,topic_family_aggregation,high,1,1,cognitive restraint
poznawczy restructuring,funkcjonowanie poznawcze i neuropsychologia,topic_family_aggregation,high,1,1,cognitive restructuring
poznawczy rigidity,funkcjonowanie poznawcze i neuropsychologia,topic_family_aggregation,high,1,1,cognitive rigidity
poznawczy triad,funkcjonowanie poznawcze i neuropsychologia,topic_family_aggregation,high,1,1,cognitive triad
funkcjonowanie społeczne i wsparcie społeczne,funkcjonowanie społeczne i wsparcie społeczne,topic_family_aggregation,high,25,25,Social Skills_ | anti-stigma campaign | anticipated and experienced stigma | community social support | loneliness | social functioning | social skills | social support | stigma | support group
przywiązanie,funkcjonowanie społeczne i wsparcie społeczne,topic_family_aggregation,high,4,4,Attachment | attachment
interpersonal funkcjonowanie,funkcjonowanie społeczne i wsparcie społeczne,topic_family_aggregation,high,3,3,Interpersonal Functioning | Interpersonal functioning | interpersonal functioning
styl przywiązania,funkcjonowanie społeczne i wsparcie społeczne,topic_family_aggregation,high,3,3,attachment style
media społecznościowe,funkcjonowanie społeczne i wsparcie społeczne,topic_family_aggregation,high,2,2,Social Media | social media
niepełnosprawność społeczna,funkcjonowanie społeczne i wsparcie społeczne,topic_family_aggregation,high,2,2,social disability
relacje,funkcjonowanie społeczne i wsparcie społeczne,topic_family_aggregation,high,2,2,relationships
relacje polsko-żydowskie,funkcjonowanie społeczne i wsparcie społeczne,topic_family_aggregation,high,2,2,Polish-Jewish relations
sieć społeczna,funkcjonowanie społeczne i wsparcie społeczne,topic_family_aggregation,high,2,2,social network
teoria przywiązania,funkcjonowanie społeczne i wsparcie społeczne,topic_family_aggregation,high,2,2,attachment theory
więź z naturą,funkcjonowanie społeczne i wsparcie społeczne,topic_family_aggregation,high,2,2,nature connectedness
attenuation of pair więź,funkcjonowanie społeczne i wsparcie społeczne,topic_family_aggregation,high,1,1,attenuation of pair bonding
care relationship,funkcjonowanie społeczne i wsparcie społeczne,topic_family_aggregation,high,1,1,care relationship
close relacje,funkcjonowanie społeczne i wsparcie społeczne,topic_family_aggregation,high,1,1,close relationships
communication,funkcjonowanie społeczne i wsparcie społeczne,topic_family_aggregation,high,1,1,communication
communication competences,funkcjonowanie społeczne i wsparcie społeczne,topic_family_aggregation,high,1,1,communication competences
core conflictual relationship theme,funkcjonowanie społeczne i wsparcie społeczne,topic_family_aggregation,high,1,1,core conflictual relationship theme
doctor-pacjent relationship,funkcjonowanie społeczne i wsparcie społeczne,topic_family_aggregation,high,1,1,doctor - patient relationship
electronic communication,funkcjonowanie społeczne i wsparcie społeczne,topic_family_aggregation,high,1,1,electronic communication
interpersonalne wzorce relacyjne,funkcjonowanie społeczne i wsparcie społeczne,topic_family_aggregation,high,1,1,Interpersonal Relational Patterns
interpersonalny,funkcjonowanie społeczne i wsparcie społeczne,topic_family_aggregation,high,1,1,interpersonal
komunikacja niewerbalna i werbalna,funkcjonowanie społeczne i wsparcie społeczne,topic_family_aggregation,high,1,1,nonverbal and verbal communication
ojcowska więź prenatalna,funkcjonowanie społeczne i wsparcie społeczne,topic_family_aggregation,high,1,1,Paternal prenatal bonding
online wsparcie,funkcjonowanie społeczne i wsparcie społeczne,topic_family_aggregation,high,1,1,online support
paternal-fetal przywiązanie,funkcjonowanie społeczne i wsparcie społeczne,topic_family_aggregation,high,1,1,Paternal–fetal attachment
peer wsparcie,funkcjonowanie społeczne i wsparcie społeczne,topic_family_aggregation,high,1,1,peer support
relacje interpersonalne,funkcjonowanie społeczne i wsparcie społeczne,topic_family_aggregation,high,1,1,interpersonal relationships
relacje małżeńskie,funkcjonowanie społeczne i wsparcie społeczne,topic_family_aggregation,high,1,1,marital relations
relationship,funkcjonowanie społeczne i wsparcie społeczne,topic_family_aggregation,high,1,1,relationship
relationship with the pacjent,funkcjonowanie społeczne i wsparcie społeczne,topic_family_aggregation,high,1,1,relationship with the patient
relationship wzorce,funkcjonowanie społeczne i wsparcie społeczne,topic_family_aggregation,high,1,1,relationship patterns
religious and społeczny predictors,funkcjonowanie społeczne i wsparcie społeczne,topic_family_aggregation,high,1,1,religious and social predictors
rówieśnik,funkcjonowanie społeczne i wsparcie społeczne,topic_family_aggregation,high,1,1,peer
sibling relacje,funkcjonowanie społeczne i wsparcie społeczne,topic_family_aggregation,high,1,1,sibling relationships
społeczny care system,funkcjonowanie społeczne i wsparcie społeczne,topic_family_aggregation,high,1,1,social care system
społeczny connectedness,funkcjonowanie społeczne i wsparcie społeczne,topic_family_aggregation,high,1,1,social connectedness
społeczny constructionism,funkcjonowanie społeczne i wsparcie społeczne,topic_family_aggregation,high,1,1,social constructionism
społeczny distancing,funkcjonowanie społeczne i wsparcie społeczne,topic_family_aggregation,high,1,1,social distancing
społeczny exclusion,funkcjonowanie społeczne i wsparcie społeczne,topic_family_aggregation,high,1,1,social exclusion
społeczny frustration,funkcjonowanie społeczne i wsparcie społeczne,topic_family_aggregation,high,1,1,social frustration
społeczny learning,funkcjonowanie społeczne i wsparcie społeczne,topic_family_aggregation,high,1,1,social learning
styles of interpersonal funkcjonowanie,funkcjonowanie społeczne i wsparcie społeczne,topic_family_aggregation,high,1,1,styles of interpersonal functioning
supportive-expressive terapia,funkcjonowanie społeczne i wsparcie społeczne,topic_family_aggregation,high,1,1,supportive-expressive therapy
więź partnerska,funkcjonowanie społeczne i wsparcie społeczne,topic_family_aggregation,high,1,1,pair bonding
wsparcie,funkcjonowanie społeczne i wsparcie społeczne,topic_family_aggregation,high,1,1,support
wzorce interpersonalne,funkcjonowanie społeczne i wsparcie społeczne,topic_family_aggregation,high,1,1,interpersonal patterns
zdezorganizowane przywiązanie,funkcjonowanie społeczne i wsparcie społeczne,topic_family_aggregation,high,1,1,disorganised attachment
mikrobiota jelitowa,gastroenterologia i mikrobiota,topic_family_aggregation,high,2,2,gut microbiota
hypnosis,hipnoza i techniki sugestii,topic_family_aggregation,high,2,2,hypnosis
analgesic suggestion,hipnoza i techniki sugestii,topic_family_aggregation,high,1,1,analgesic suggestion
Holokaust,"historia, pamięć i trauma zbiorowa",topic_family_aggregation,high,7,7,Holocaust | holocaust
historia psychiatrii,"historia, pamięć i trauma zbiorowa",topic_family_aggregation,high,2,2,history of psychiatry
oddział psychiatryczny,"historia, pamięć i trauma zbiorowa",topic_family_aggregation,high,2,2,psychiatric ward
archive,"historia, pamięć i trauma zbiorowa",topic_family_aggregation,high,1,1,Archive
day-care ward,"historia, pamięć i trauma zbiorowa",topic_family_aggregation,high,1,1,day-care ward
experience of wartości,"historia, pamięć i trauma zbiorowa",topic_family_aggregation,high,1,1,experience of values
historia of polish psychiatry,"historia, pamięć i trauma zbiorowa",topic_family_aggregation,high,1,1,history of Polish psychiatry
locked psychiatryczny ward,"historia, pamięć i trauma zbiorowa",topic_family_aggregation,high,1,1,locked psychiatric ward
stwardnienie rozsiane,"historia, pamięć i trauma zbiorowa",topic_family_aggregation,high,1,1,Multiple Sclerosis
stwardnienie rozsiane (SM),"historia, pamięć i trauma zbiorowa",topic_family_aggregation,high,1,1,multiple sclerosis (MS)
war,"historia, pamięć i trauma zbiorowa",topic_family_aggregation,high,1,1,war
warsaw ghetto uprising,"historia, pamięć i trauma zbiorowa",topic_family_aggregation,high,1,1,Warsaw Ghetto Uprising
wartości,"historia, pamięć i trauma zbiorowa",topic_family_aggregation,high,1,1,values
wartości osobiste,"historia, pamięć i trauma zbiorowa",topic_family_aggregation,high,1,1,personal values
wartości system,"historia, pamięć i trauma zbiorowa",topic_family_aggregation,high,1,1,values system
redaktorzy,"instytucje, redakcja i komunikacja naukowa",topic_family_aggregation,high,2,2,editors
artykuł,"instytucje, redakcja i komunikacja naukowa",topic_family_aggregation,high,1,1,paper
author's memories,"instytucje, redakcja i komunikacja naukowa",topic_family_aggregation,high,1,1,author's memories
authors index,"instytucje, redakcja i komunikacja naukowa",topic_family_aggregation,high,1,1,Authors index
editorial editorial 1,"instytucje, redakcja i komunikacja naukowa",topic_family_aggregation,high,1,1,Editorial Editorial 1
for authors,"instytucje, redakcja i komunikacja naukowa",topic_family_aggregation,high,1,1,For Authors
submit your artykuł,"instytucje, redakcja i komunikacja naukowa",topic_family_aggregation,high,1,1,Submit your paper
zdrowie psychiczne i zaburzenia psychiczne,interwencje terapeutyczne i rehabilitacja,topic_family_aggregation,high,54,52,Community mental health services | Mental Disorders | Mental Health | Mental health | Psychiatrically-impaired mental health practitioners | Terms for recipients of mental health services | epidemiology of mental disorders in adolescence | men's mental health | mental disorder | mental disorders
praca i zdrowie psychiczne zawodowe,interwencje terapeutyczne i rehabilitacja,topic_family_aggregation,high,19,17,Staff Supervision | Staff Training | Therapies in burnout | burnout | job satisfaction | occupational burnout | occupational diseases | physician-patient relation | professional burnout | social work
leczenie,interwencje terapeutyczne i rehabilitacja,topic_family_aggregation,high,8,8,treatment
rehabilitacja,interwencje terapeutyczne i rehabilitacja,topic_family_aggregation,high,3,3,rehabilitation
całodobowe leczenie psychiatryczne,interwencje terapeutyczne i rehabilitacja,topic_family_aggregation,high,2,2,Residential Psychiatric Treatment
postępowanie kliniczne,interwencje terapeutyczne i rehabilitacja,topic_family_aggregation,high,2,2,clinical management
psychiatryczny rehabilitation,interwencje terapeutyczne i rehabilitacja,topic_family_aggregation,high,2,2,psychiatric rehabilitation
administrative management,interwencje terapeutyczne i rehabilitacja,topic_family_aggregation,high,1,1,administrative management
affect regulation training,interwencje terapeutyczne i rehabilitacja,topic_family_aggregation,high,1,1,Affect regulation training
augmentation,interwencje terapeutyczne i rehabilitacja,topic_family_aggregation,high,1,1,augmentation
brief interwencja,interwencje terapeutyczne i rehabilitacja,topic_family_aggregation,high,1,1,brief intervention
community leczenie programme,interwencje terapeutyczne i rehabilitacja,topic_family_aggregation,high,1,1,community treatment programme
context and motivation to the leczenie,interwencje terapeutyczne i rehabilitacja,topic_family_aggregation,high,1,1,context and motivation to the treatment
