semantic_3c_action,keyword_concept_en_final,keyword_concept_polish_final,n_records,n_articles,input_expanded_concepts,raw_variants
merge_cognitive_functioning_family,cognitive functioning,funkcjonowanie poznawcze,40,34,attention-deficit/hyperactivity disorder | cognitive functioning | collective memory | executive function | individual memory | memory | memory disturbance | mild cognitive impairment | selective attention | working memory | working memory deficit,: attention deficit hyperactivity disorder | adhd | adult attention deficit hyperactivity disorder | cognition | cognitive deficits | cognitive dysfunctions | cognitive function | cognitive functioning | cognitive functions | cognitive impairment in aud | cognitive impairments | collective memory | executive function | executive functions | individual memory | memory | memory disturbances | mild cognitive impairment | neurocognitive function | neurocognitive impairement | selective attention | working memory | working memory deficits
merge_gender_sexuality_family,gender/sexuality,"płeć, seksualność i tożsamość płciowa",38,32,atypical gender identity development | convicted sexual offenders | gender | gender difference | gender identity in childhood | gender role conflict | gender variance | psychological gender | risky sexual behavior | sexual abuse | sexual disgust | sexual disorder | sexual dysfunction | sexual functioning | sexual identity | sexual life | sexual minority men | sexual offending | sexual problems | sexual satisfaction | sexuality | the number of sex partners | the quality of sexuality,atypical gender identity development | convicted sexual offenders | gender | gender difference | gender identity | gender identity in childhood | gender role conflict | gender variance | psychological gender | risky sexual behavior | sexual abuse | sexual disgust | sexual disorders | sexual dysfunction | sexual dysfunctions | sexual functioning | sexual identity | sexual life | sexual minority men | sexual offending | sexual problems | sexual satisfaction | sexuality | the number of sex partners | the quality of sexuality
merge_covid_family,covid-19,COVID-19,30,24,covid-19 | pandemic,coronavirus | covid-19 | covid-19 pandemic | pandemic | pandemics | sars-cov-2
merge_social_family,social functioning/support,funkcjonowanie społeczne i wsparcie społeczne,25,25,anti-stigma campaign | anticipated and experienced stigma | community social support | loneliness | social functioning | social skills | social support | stigma | weight stigma,anti-stigma campaign | anticipated and experienced stigma | community social support | loneliness | social functioning | social skills | social skills_ | social support | stigma | support group | weight stigma
merge_pharmacotherapy_family,pharmacotherapy/psychotropic medication,farmakoterapia i leki psychotropowe,24,22,antidepressants | antipsychotics | clozapine | medication adherence | paroxetine | pharmacotherapy | second generation antipsychotic | venlafaxine,antidepressant | antipshychotics | antipsychotic | antipsychotic agents | antipsychotics | clozapine | medication adherence | paroxetine | pharmacotherapy | problems of drug therapy | second generation antipsychotics | venlafaxine
merge_personality_family,personality/personality disorders,osobowość i zaburzenia osobowości,24,21,antisocial personality disorder/borderline personality disorder | borderline personality disorder | narcissism | personality disorders | personality traits | personality traits changes | schizoid personality disorder,antisocial personality disorder/borderline personality disorder | borderline personality disorder | bpd | narcissism | personality disorder | personality disorders | personality traits | personality traits changes | schizoid personality disorder
merge_bipolar_family,bipolar disorder,zaburzenie afektywne dwubiegunowe,23,22,bipolar affective illness | bipolar disorder | bipolar mood disorder | bipolar spectrum | spectrum of bipolar disorder,bipolar affective disorder | bipolar affective illness | bipolar disorder | bipolar disorders | bipolar mood disorders | bipolar spectrum | spectrum of bipolar disorder
merge_suicidality_family,suicidality,samobójczość,23,13,non-suicidal self-injury | suicidality,attempted suicide | non suicidal self-injury | self-harm | suicidal behaviour | suicidal thoughts | suicide | suicide attempt | suicide attempts | suicide ideation
merge_body_image_family,body image/body attitudes,obraz ciała i postawy wobec ciała,22,17,body attitude test | body image/body attitudes | body mass index,body attitude test | body attitudes | body dissatisfaction | body esteem | body image | body image concern | body image disturbance | body image perception | body mass index | body percept | body self | disordered body image | distorted body image
merge_qol_wellbeing_family,quality of life/well-being,jakość życia i dobrostan,21,20,life satisfaction | psychological well-being | psychophysical wellbeing | quality of life | sense of life satisfaction | well-being,health related quality of life | health-related quality of life | life satisfaction | oral health related quality of life | psychological well-being | psychophysical wellbeing | quality of life | quality of life (qol) | sense of life satisfaction | subjective quality of life | well-being
merge_work_occupational_family,work/occupational mental health,praca i zdrowie psychiczne zawodowe,19,17,burnout | job satisfaction | occupational burnout | occupational diseases | physician-patient relation | professional burnout | social work | staff supervision | staff training | structured professional judgement | therapies in burnout,burnout | job satisfaction | occupational burnout | occupational diseases | physician-patient relation | professional burnout | social work | staff supervision | staff training | structured professional judgement | therapies in burnout
merge_substance_addiction_family,substance use disorder/addictions,zaburzenia używania substancji i uzależnienia,16,16,addiction severity | addiction to mobile phone | cannabis | internet addiction | opioid stabilization | social media addiction | substance use disorder,addiction severity | addiction to mobile phone | cannabis | drug addiction | internet addiction | obsessive compulsive symptoms and symptoms of psychoactive substance use | opioid stabilization | social media addiction | substance abuse | substance use disorder | substance use disorders
merge_alcohol_use_family,alcohol use disorder,zaburzenie używania alkoholu,16,14,alcohol use disorder,alcohol abuse | alcohol addiction | alcohol dependence | alcohol use disorder | alcohol use disorders | alcohol-addiction | alcoholism | alcoholism morbidity rate
merge_aging_family,aging/older adults,starzenie się i osoby starsze,13,12,alzheimer's disease | dementia | dementia of the alzheimer type | elderly | older workers | the elderly,alzheimer's disease | dementia | dementia of the alzheimer type | elderly | older workers | the elderly
merge_sleep_family,sleep disorders/sleep,sen i zaburzenia snu,12,9,nightmare sufferers | parasomnia | rem sleep | rem sleep behavior disorder | sleep apnea | sleep disorder | sleep disturbance | sleep paralysis | sleep quality,nightmare sufferers | parasomnia | rem sleep | rem sleep behaviour disorder | sleep apnea | sleep disorder | sleep disorders | sleep disturbance | sleep disturbances | sleep paralysis | sleep quality
merge_psychoanalytic_psychodynamic,psychoanalysis/psychodynamic approach,psychoanaliza i podejście psychodynamiczne,11,11,psychoanalysis | psychoanalytic instinct theory | psychoanalytic training | psychodynamic therapist | psychodynamic therapy,psychoanalysis | psychoanalytic instinct theory | psychoanalytic training | psychodynamic therapists | psychodynamic therapy
merge_cbt_family,cognitive behavioral therapy,terapia poznawczo-behawioralna,11,9,cognitive behavioral therapy,cbt | cognitive behavioral therapy | cognitive behaviour therapy | cognitive behavioural therapy | cognitive-behavioral therapy
merge_ocd_family,obsessive-compulsive disorder,zaburzenie obsesyjno-kompulsyjne,10,10,compulsive sexual behavior disorder | emotional injury ocd | obsessive-compulsive disorder | obsessive-compulsive disorder (ocd),compulsive sexual behavior disorders | emotional injury ocd | obsessive compulsive disorder | obsessive-compulsive disorder | obsessive-compulsive disorder (ocd) | ocd
merge_panic_family,panic disorder,zaburzenie paniczne,7,7,agoraphobia with panic attacks | panic disorder,agoraphobia with panic attacks | panic disorder
merge_autism_family,autism spectrum disorder,zaburzenie ze spektrum autyzmu,6,6,autism spectrum disorder,autism | autism spectrum | autism spectrum disorders | autism_
merge_biomarker_neuroimaging_family,biological markers/neuroimaging,markery biologiczne i neuroobrazowanie,4,4,eeg-biofeedback | fmri | magnetic resonance imaging | proton magnetic resonance spectroscopy,eeg-biofeedback | fmri | magnetic resonance imaging | proton magnetic resonance spectroscopy
merge_forensic_family,forensic/penitentiary context,kontekst sądowo-penitencjarny,4,4,criminal insanity | forensic psychiatry | penitentiary unit | prison,criminal insanity | forensic psychiatry | penitentiary unit | prison
merge_self_harm_family,self-harm/self-injury,samouszkodzenia i autoagresja,3,3,deliberate self-harm | nssi | self-mutilation,deliberate self-harm | nssi | self-mutilation
