term_norm_for_audit,audit_category,audit_reason,include_in_semantic_review,manual_override,manual_override_note
between patient,candidate_concept,kept_for_semantic_review,True,,
between patient analyst,candidate_concept,kept_for_semantic_review,True,,
between psychoanalysis,candidate_concept,kept_for_semantic_review,True,,
between two,candidate_concept,kept_for_semantic_review,True,,
beyond pleasure principle,candidate_concept,kept_for_semantic_review,True,,
bloomingdale road white,candidate_concept,kept_for_semantic_review,True,,
blum harold blum,candidate_concept,kept_for_semantic_review,True,,
blum hemlocks roslyn,candidate_concept,kept_for_semantic_review,True,,
board,candidate_concept,kept_for_semantic_review,True,,
body,candidate_concept,kept_for_semantic_review,True,,
body image,candidate_concept,kept_for_semantic_review,True,,
borderline,candidate_concept,kept_for_semantic_review,True,,
borderline personality,candidate_concept,kept_for_semantic_review,True,,
borderline personality disorder,candidate_concept,kept_for_semantic_review,True,,
borderline personality organization,candidate_concept,kept_for_semantic_review,True,,
boston psychoanalytic,candidate_concept,kept_for_semantic_review,True,,
boston psychoanalytic society,candidate_concept,kept_for_semantic_review,True,,
both,candidate_concept,kept_for_semantic_review,True,,
both analyst patient,candidate_concept,kept_for_semantic_review,True,,
both patient analyst,candidate_concept,kept_for_semantic_review,True,,
brief,candidate_concept,kept_for_semantic_review,True,,
british psycho-analytical society,candidate_concept,kept_for_semantic_review,True,,
british psychoanalytical society,candidate_concept,kept_for_semantic_review,True,,
buenos aires,candidate_concept,kept_for_semantic_review,True,,
buenos aires argentina,candidate_concept,kept_for_semantic_review,True,,
california,candidate_concept,kept_for_semantic_review,True,,
california san francisco,candidate_concept,kept_for_semantic_review,True,,
capacity,candidate_concept,kept_for_semantic_review,True,,
care,candidate_concept,kept_for_semantic_review,True,,
castration,candidate_concept,kept_for_semantic_review,True,,
center,candidate_concept,kept_for_semantic_review,True,,
center psychoanalysis,candidate_concept,kept_for_semantic_review,True,,
center psychoanalytic,candidate_concept,kept_for_semantic_review,True,,
center psychoanalytic training,candidate_concept,kept_for_semantic_review,True,,
central,candidate_concept,kept_for_semantic_review,True,,
central park,candidate_concept,kept_for_semantic_review,True,,
central park west,candidate_concept,kept_for_semantic_review,True,,
certain,candidate_concept,kept_for_semantic_review,True,,
change,candidate_concept,kept_for_semantic_review,True,,
character,candidate_concept,kept_for_semantic_review,True,,
chicago institute psychoanalysis,candidate_concept,kept_for_semantic_review,True,,
chicago school professional,candidate_concept,kept_for_semantic_review,True,,
child,candidate_concept,kept_for_semantic_review,True,,
child adolescent,candidate_concept,kept_for_semantic_review,True,,
child analysis,candidate_concept,kept_for_semantic_review,True,,
child development,candidate_concept,kept_for_semantic_review,True,,
childhood,candidate_concept,kept_for_semantic_review,True,,
children,candidate_concept,kept_for_semantic_review,True,,
city,candidate_concept,kept_for_semantic_review,True,,
city university new,candidate_concept,kept_for_semantic_review,True,,
clinical,background_domain_term,explicit_background_domain_rule,False,,
clinical associate professor,candidate_concept,kept_for_semantic_review,True,,
clinical experience,candidate_concept,kept_for_semantic_review,True,,
clinical implications,candidate_concept,kept_for_semantic_review,True,,
clinical material,background_domain_term,explicit_background_domain_rule,False,,
clinical practice,background_domain_term,explicit_background_domain_rule,False,,
clinical professor,candidate_concept,kept_for_semantic_review,True,,
clinical professor psychiatry,candidate_concept,kept_for_semantic_review,True,,
clinical professor psychology,candidate_concept,kept_for_semantic_review,True,,
clinical psychoanalysis,background_domain_term,explicit_background_domain_rule,False,,
clinical psychology,candidate_concept,kept_for_semantic_review,True,,
clinical theoretical,candidate_concept,kept_for_semantic_review,True,,
clinical vignettes,candidate_concept,kept_for_semantic_review,True,,
clinical work,background_domain_term,explicit_background_domain_rule,False,,
college physicians surgeons,candidate_concept,kept_for_semantic_review,True,,
columbia university,candidate_concept,kept_for_semantic_review,True,,
columbia university center,candidate_concept,kept_for_semantic_review,True,,
com,candidate_concept,kept_for_semantic_review,True,,
com final version,candidate_concept,kept_for_semantic_review,True,,
com http orcid,candidate_concept,kept_for_semantic_review,True,,
com https orcid,candidate_concept,kept_for_semantic_review,True,,
come,candidate_concept,kept_for_semantic_review,True,,
commentary,candidate_concept,kept_for_semantic_review,True,,
community,candidate_concept,kept_for_semantic_review,True,,
complex,candidate_concept,kept_for_semantic_review,True,,
conflict,candidate_concept,kept_for_semantic_review,True,,
conflicts,candidate_concept,kept_for_semantic_review,True,,
conscious unconscious,candidate_concept,kept_for_semantic_review,True,,
consulting room,candidate_concept,kept_for_semantic_review,True,,
contemporary,candidate_concept,kept_for_semantic_review,True,,
contemporary psychoanalysis,candidate_concept,kept_for_semantic_review,True,,
contemporary psychoanalytic,candidate_concept,kept_for_semantic_review,True,,
context,candidate_concept,kept_for_semantic_review,True,,
contribution,candidate_concept,kept_for_semantic_review,True,,
cooper steven cooper,candidate_concept,kept_for_semantic_review,True,,
correspondence,candidate_concept,kept_for_semantic_review,True,,
correspondence addressed,candidate_concept,kept_for_semantic_review,True,,
countertransference,candidate_concept,kept_for_semantic_review,True,,
course,candidate_concept,kept_for_semantic_review,True,,
cultural,candidate_concept,kept_for_semantic_review,True,,
current,candidate_concept,kept_for_semantic_review,True,,
daniel widl cher,candidate_concept,kept_for_semantic_review,True,,
data,candidate_concept,kept_for_semantic_review,True,,
david,candidate_concept,kept_for_semantic_review,True,,
death,candidate_concept,kept_for_semantic_review,True,,
death drive,candidate_concept,kept_for_semantic_review,True,,
death instinct,candidate_concept,kept_for_semantic_review,True,,
defence mechanisms,candidate_concept,kept_for_semantic_review,True,,
defense,candidate_concept,kept_for_semantic_review,True,,
department,candidate_concept,kept_for_semantic_review,True,,
department psychiatry,candidate_concept,kept_for_semantic_review,True,,
department psychiatry university,candidate_concept,kept_for_semantic_review,True,,
department psychology,candidate_concept,kept_for_semantic_review,True,,
depression,candidate_concept,kept_for_semantic_review,True,,
der,candidate_concept,kept_for_semantic_review,True,,
des,candidate_concept,kept_for_semantic_review,True,,
development,background_domain_term,explicit_background_domain_rule,False,,
developmental,background_domain_term,explicit_background_domain_rule,False,,
dialogues,candidate_concept,kept_for_semantic_review,True,,
die,candidate_concept,kept_for_semantic_review,True,,
difference between,candidate_concept,kept_for_semantic_review,True,,
differences between,candidate_concept,kept_for_semantic_review,True,,
different,candidate_concept,kept_for_semantic_review,True,,
difficulties,candidate_concept,kept_for_semantic_review,True,,
director,candidate_concept,kept_for_semantic_review,True,,
disorder,candidate_concept,kept_for_semantic_review,True,,
disorders,candidate_concept,kept_for_semantic_review,True,,
dissociation,candidate_concept,kept_for_semantic_review,True,,
distinction between,candidate_concept,kept_for_semantic_review,True,,
donnel stern,candidate_concept,kept_for_semantic_review,True,,
dream,candidate_concept,kept_for_semantic_review,True,,
dreams,candidate_concept,kept_for_semantic_review,True,,
drive,candidate_concept,kept_for_semantic_review,True,,
dynamic,candidate_concept,kept_for_semantic_review,True,,
dynamic interpersonal therapy,candidate_concept,kept_for_semantic_review,True,,
e-mail,candidate_concept,kept_for_semantic_review,True,,
e-mail interest become,candidate_concept,kept_for_semantic_review,True,,
e-mail notification,candidate_concept,kept_for_semantic_review,True,,
e-mail notification latest,candidate_concept,kept_for_semantic_review,True,,
early,candidate_concept,kept_for_semantic_review,True,,
early childhood,candidate_concept,kept_for_semantic_review,True,,
east,candidate_concept,kept_for_semantic_review,True,,
east street,candidate_concept,kept_for_semantic_review,True,,
east street new,candidate_concept,kept_for_semantic_review,True,,
east street suite,candidate_concept,kept_for_semantic_review,True,,
editor,candidate_concept,kept_for_semantic_review,True,,
editor psychoanalytic,candidate_concept,kept_for_semantic_review,True,,
editor psychoanalytic dialogues,candidate_concept,kept_for_semantic_review,True,,
edu,candidate_concept,kept_for_semantic_review,True,,
edward,candidate_concept,kept_for_semantic_review,True,,
edward glover,candidate_concept,kept_for_semantic_review,True,,
edward glover edward,candidate_concept,kept_for_semantic_review,True,,
ego,candidate_concept,kept_for_semantic_review,True,,
ego development,candidate_concept,kept_for_semantic_review,True,,
ego functions,candidate_concept,kept_for_semantic_review,True,,
ego ideal,candidate_concept,kept_for_semantic_review,True,,
ego psychology,candidate_concept,kept_for_semantic_review,True,,
ego superego,candidate_concept,kept_for_semantic_review,True,,
email,candidate_concept,kept_for_semantic_review,True,,
emotional,candidate_concept,kept_for_semantic_review,True,,
empirical,candidate_concept,kept_for_semantic_review,True,,
empirical research,candidate_concept,kept_for_semantic_review,True,,
end avenue,candidate_concept,kept_for_semantic_review,True,,
end avenue new,candidate_concept,kept_for_semantic_review,True,,
ernest,candidate_concept,kept_for_semantic_review,True,,
ernest jones,candidate_concept,kept_for_semantic_review,True,,
ernest jones ernest,candidate_concept,kept_for_semantic_review,True,,
even,candidate_concept,kept_for_semantic_review,True,,
every,candidate_concept,kept_for_semantic_review,True,,
evidence,candidate_concept,kept_for_semantic_review,True,,
evidence-based,candidate_concept,kept_for_semantic_review,True,,
experience,background_domain_term,explicit_background_domain_rule,False,,
experiences,background_domain_term,explicit_background_domain_rule,False,,
external,candidate_concept,kept_for_semantic_review,True,,
external reality,candidate_concept,kept_for_semantic_review,True,,
external world,candidate_concept,kept_for_semantic_review,True,,
fact,candidate_concept,kept_for_semantic_review,True,,
factors,candidate_concept,kept_for_semantic_review,True,,
faculty,candidate_concept,kept_for_semantic_review,True,,
faculty member,candidate_concept,kept_for_semantic_review,True,,
faculty new york,candidate_concept,kept_for_semantic_review,True,,
faculty psychoanalytic institute,candidate_concept,kept_for_semantic_review,True,,
faculty supervising analyst,candidate_concept,kept_for_semantic_review,True,,
fall meeting american,candidate_concept,kept_for_semantic_review,True,,
family,candidate_concept,kept_for_semantic_review,True,,
fantasies,candidate_concept,kept_for_semantic_review,True,,
fantasy,candidate_concept,kept_for_semantic_review,True,,
far,candidate_concept,kept_for_semantic_review,True,,
father,candidate_concept,kept_for_semantic_review,True,,
favorite apa journal,candidate_concept,kept_for_semantic_review,True,,
fax e-mail,candidate_concept,kept_for_semantic_review,True,,
feeling,candidate_concept,kept_for_semantic_review,True,,
feelings,candidate_concept,kept_for_semantic_review,True,,
female,candidate_concept,kept_for_semantic_review,True,,
female sexuality,candidate_concept,kept_for_semantic_review,True,,
field,candidate_concept,kept_for_semantic_review,True,,
fifth avenue new,candidate_concept,kept_for_semantic_review,True,,
final version,candidate_concept,kept_for_semantic_review,True,,
final version accepted,candidate_concept,kept_for_semantic_review,True,,
find,candidate_concept,kept_for_semantic_review,True,,
findings,candidate_concept,kept_for_semantic_review,True,,
first,candidate_concept,kept_for_semantic_review,True,,
first time,candidate_concept,kept_for_semantic_review,True,,
floor new york,candidate_concept,kept_for_semantic_review,True,,
following,candidate_concept,kept_for_semantic_review,True,,
forensic,candidate_concept,kept_for_semantic_review,True,,
form,candidate_concept,kept_for_semantic_review,True,,
forms,candidate_concept,kept_for_semantic_review,True,,
found,candidate_concept,kept_for_semantic_review,True,,
francisco,candidate_concept,kept_for_semantic_review,True,,
francisco center psychoanalysis,candidate_concept,kept_for_semantic_review,True,,
francisco gonz lez,candidate_concept,kept_for_semantic_review,True,,
francisco psychoanalytic institute,candidate_concept,kept_for_semantic_review,True,,
fred busch,candidate_concept,kept_for_semantic_review,True,,
free association,candidate_concept,kept_for_semantic_review,True,,
freud,candidate_concept,kept_for_semantic_review,True,,
freud anna freud,candidate_concept,kept_for_semantic_review,True,,
freud sigmund freud,candidate_concept,kept_for_semantic_review,True,,
freud's,candidate_concept,kept_for_semantic_review,True,,
freud's theory,candidate_concept,kept_for_semantic_review,True,,
function,candidate_concept,kept_for_semantic_review,True,,
functioning,candidate_concept,kept_for_semantic_review,True,,
further,candidate_concept,kept_for_semantic_review,True,,
gabbard glen gabbard,candidate_concept,kept_for_semantic_review,True,,
gender,candidate_concept,kept_for_semantic_review,True,,
gender identity,candidate_concept,kept_for_semantic_review,True,,
gender sexuality,candidate_concept,kept_for_semantic_review,True,,
general,candidate_concept,kept_for_semantic_review,True,,
give,candidate_concept,kept_for_semantic_review,True,,
given,candidate_concept,kept_for_semantic_review,True,,
glen gabbard,candidate_concept,kept_for_semantic_review,True,,
glen gabbard glen,candidate_concept,kept_for_semantic_review,True,,
glover,candidate_concept,kept_for_semantic_review,True,,
glover edward glover,candidate_concept,kept_for_semantic_review,True,,
gmail,candidate_concept,kept_for_semantic_review,True,,
gmail com,candidate_concept,kept_for_semantic_review,True,,
gmail com http,candidate_concept,kept_for_semantic_review,True,,
gmail com https,candidate_concept,kept_for_semantic_review,True,,
great,candidate_concept,kept_for_semantic_review,True,,
group,candidate_concept,kept_for_semantic_review,True,,
groups,candidate_concept,kept_for_semantic_review,True,,
harold blum,candidate_concept,kept_for_semantic_review,True,,
harold blum harold,candidate_concept,kept_for_semantic_review,True,,
harold blum hemlocks,candidate_concept,kept_for_semantic_review,True,,
harvard medical,candidate_concept,kept_for_semantic_review,True,,
harvard medical school,candidate_concept,kept_for_semantic_review,True,,
health,candidate_concept,kept_for_semantic_review,True,,
help,candidate_concept,kept_for_semantic_review,True,,
hemlocks roslyn estates,candidate_concept,kept_for_semantic_review,True,,
here,candidate_concept,kept_for_semantic_review,True,,
himself,candidate_concept,kept_for_semantic_review,True,,
history,candidate_concept,kept_for_semantic_review,True,,
hms harvard edu,candidate_concept,kept_for_semantic_review,True,,
hospital,candidate_concept,kept_for_semantic_review,True,,
however,candidate_concept,kept_for_semantic_review,True,,
http orcid,candidate_concept,kept_for_semantic_review,True,,
http orcid org,candidate_concept,kept_for_semantic_review,True,,
https,candidate_concept,kept_for_semantic_review,True,,
https orcid,candidate_concept,kept_for_semantic_review,True,,
https orcid org,candidate_concept,kept_for_semantic_review,True,,
human,candidate_concept,kept_for_semantic_review,True,,
ideas,candidate_concept,kept_for_semantic_review,True,,
ideas about,candidate_concept,kept_for_semantic_review,True,,
identification,candidate_concept,kept_for_semantic_review,True,,
identity,candidate_concept,kept_for_semantic_review,True,,
impact,candidate_concept,kept_for_semantic_review,True,,
implications,candidate_concept,kept_for_semantic_review,True,,
importance,candidate_concept,kept_for_semantic_review,True,,
important,candidate_concept,kept_for_semantic_review,True,,
including,candidate_concept,kept_for_semantic_review,True,,
individual,candidate_concept,kept_for_semantic_review,True,,
influence,candidate_concept,kept_for_semantic_review,True,,
inner world,candidate_concept,kept_for_semantic_review,True,,
institute,candidate_concept,kept_for_semantic_review,True,,
institute contemporary,candidate_concept,kept_for_semantic_review,True,,
institute contemporary psychoanalysis,candidate_concept,kept_for_semantic_review,True,,
institute contemporary psychotherapy,candidate_concept,kept_for_semantic_review,True,,
institute northern,candidate_concept,kept_for_semantic_review,True,,
institute northern california,candidate_concept,kept_for_semantic_review,True,,
institute psychoanalysis,candidate_concept,kept_for_semantic_review,True,,
institute psychoanalytic,candidate_concept,kept_for_semantic_review,True,,
institute psychoanalytic subjectivity,candidate_concept,kept_for_semantic_review,True,,
institute psychoanalytic training,candidate_concept,kept_for_semantic_review,True,,
interest,candidate_concept,kept_for_semantic_review,True,,
interest become available,candidate_concept,kept_for_semantic_review,True,,
internal,candidate_concept,kept_for_semantic_review,True,,
internal external,candidate_concept,kept_for_semantic_review,True,,
internal object,candidate_concept,kept_for_semantic_review,True,,
internal objects,candidate_concept,kept_for_semantic_review,True,,
international,candidate_concept,kept_for_semantic_review,True,,
international association relational,candidate_concept,kept_for_semantic_review,True,,
international journal,candidate_concept,kept_for_semantic_review,True,,
international journal psycho-analysis,candidate_concept,kept_for_semantic_review,True,,
international journal psychoanalysis,candidate_concept,kept_for_semantic_review,True,,
international psycho-analytical,candidate_concept,kept_for_semantic_review,True,,
international psycho-analytical association,candidate_concept,kept_for_semantic_review,True,,
international psycho-analytical congress,candidate_concept,kept_for_semantic_review,True,,
international psychoanalytic association,candidate_concept,kept_for_semantic_review,True,,
international psychoanalytical association,candidate_concept,kept_for_semantic_review,True,,
international universities press,candidate_concept,kept_for_semantic_review,True,,
interpersonal,candidate_concept,kept_for_semantic_review,True,,
interpretation,candidate_concept,kept_for_semantic_review,True,,
interpretation dreams,candidate_concept,kept_for_semantic_review,True,,
intersubjective,candidate_concept,kept_for_semantic_review,True,,
introduction,candidate_concept,kept_for_semantic_review,True,,
jacob arlow jacob,candidate_concept,kept_for_semantic_review,True,,
jeanne lampl-de groot,candidate_concept,kept_for_semantic_review,True,,
jody messler davies,candidate_concept,kept_for_semantic_review,True,,
john,candidate_concept,kept_for_semantic_review,True,,
jones,candidate_concept,kept_for_semantic_review,True,,
jones ernest jones,candidate_concept,kept_for_semantic_review,True,,
journal,candidate_concept,kept_for_semantic_review,True,,
journal american psychoanalytic,candidate_concept,kept_for_semantic_review,True,,
journal available online,candidate_concept,kept_for_semantic_review,True,,
joyce slochower,candidate_concept,kept_for_semantic_review,True,,
judy kantrowitz,candidate_concept,kept_for_semantic_review,True,,
kanzer mark kanzer,candidate_concept,kept_for_semantic_review,True,,
kernberg otto kernberg,candidate_concept,kept_for_semantic_review,True,,
know,candidate_concept,kept_for_semantic_review,True,,
know next favorite,candidate_concept,kept_for_semantic_review,True,,
knowledge,candidate_concept,kept_for_semantic_review,True,,
language,candidate_concept,kept_for_semantic_review,True,,
later,candidate_concept,kept_for_semantic_review,True,,
latest,candidate_concept,kept_for_semantic_review,True,,
latest online,candidate_concept,kept_for_semantic_review,True,,
latest online e-mail,candidate_concept,kept_for_semantic_review,True,,
latest online like,candidate_concept,kept_for_semantic_review,True,,
latest online runninghead,technical_artifact,explicit_artifact_rule,False,,
lauren levine,candidate_concept,kept_for_semantic_review,True,,
learning,candidate_concept,kept_for_semantic_review,True,,
leo rangell,candidate_concept,kept_for_semantic_review,True,,
leo rangell leo,candidate_concept,kept_for_semantic_review,True,,
lewis aron,candidate_concept,kept_for_semantic_review,True,,
libido,candidate_concept,kept_for_semantic_review,True,,
life,candidate_concept,kept_for_semantic_review,True,,
like,candidate_concept,kept_for_semantic_review,True,,
like know next,candidate_concept,kept_for_semantic_review,True,,
literature,candidate_concept,kept_for_semantic_review,True,,
little,candidate_concept,kept_for_semantic_review,True,,
london,candidate_concept,kept_for_semantic_review,True,,
long island university,candidate_concept,kept_for_semantic_review,True,,
los angeles,candidate_concept,kept_for_semantic_review,True,,
los angeles california,candidate_concept,kept_for_semantic_review,True,,
loss,candidate_concept,kept_for_semantic_review,True,,
love,candidate_concept,kept_for_semantic_review,True,,
made,candidate_concept,kept_for_semantic_review,True,,
maintains private practice,candidate_concept,kept_for_semantic_review,True,,
make,candidate_concept,kept_for_semantic_review,True,,
man,candidate_concept,kept_for_semantic_review,True,,
manhattan institute psychoanalysis,candidate_concept,kept_for_semantic_review,True,,
many,candidate_concept,kept_for_semantic_review,True,,
many years,candidate_concept,kept_for_semantic_review,True,,
mark kanzer mark,candidate_concept,kept_for_semantic_review,True,,
massachusetts institute psychoanalysis,candidate_concept,kept_for_semantic_review,True,,
material,technical_artifact,explicit_artifact_rule,False,,
maurice bouvet prize,candidate_concept,kept_for_semantic_review,True,,
meaning,candidate_concept,kept_for_semantic_review,True,,
means,candidate_concept,kept_for_semantic_review,True,,
medical,candidate_concept,kept_for_semantic_review,True,,
medical center,candidate_concept,kept_for_semantic_review,True,,
medical school,candidate_concept,kept_for_semantic_review,True,,
meeting american,candidate_concept,kept_for_semantic_review,True,,
meeting american psychoanalytic,candidate_concept,kept_for_semantic_review,True,,
melanie klein,candidate_concept,kept_for_semantic_review,True,,
member,candidate_concept,kept_for_semantic_review,True,,
mental,candidate_concept,kept_for_semantic_review,True,,
mental functioning,candidate_concept,kept_for_semantic_review,True,,
mental health,candidate_concept,kept_for_semantic_review,True,,
mental health services,candidate_concept,kept_for_semantic_review,True,,
mental life,candidate_concept,kept_for_semantic_review,True,,
michael,candidate_concept,kept_for_semantic_review,True,,
michael balint michael,candidate_concept,kept_for_semantic_review,True,,
michigan avenue chicago,candidate_concept,kept_for_semantic_review,True,,
michigan avenue suite,candidate_concept,kept_for_semantic_review,True,,
mind,candidate_concept,kept_for_semantic_review,True,,
mitchell,candidate_concept,kept_for_semantic_review,True,,
mitchell center relational,candidate_concept,kept_for_semantic_review,True,,
model,candidate_concept,kept_for_semantic_review,True,,
mother,candidate_concept,kept_for_semantic_review,True,,
much,candidate_concept,kept_for_semantic_review,True,,
must,candidate_concept,kept_for_semantic_review,True,,
narcissism,candidate_concept,kept_for_semantic_review,True,,
narcissistic,candidate_concept,kept_for_semantic_review,True,,
national health service,candidate_concept,kept_for_semantic_review,True,,
national institute psychotherapies,candidate_concept,kept_for_semantic_review,True,,
nature,candidate_concept,kept_for_semantic_review,True,,
need,candidate_concept,kept_for_semantic_review,True,,
needs,candidate_concept,kept_for_semantic_review,True,,
negative therapeutic reaction,candidate_concept,kept_for_semantic_review,True,,
neurosis,candidate_concept,kept_for_semantic_review,True,,
new,candidate_concept,kept_for_semantic_review,True,,
new york,candidate_concept,kept_for_semantic_review,True,,
new york city,candidate_concept,kept_for_semantic_review,True,,
new york december,candidate_concept,kept_for_semantic_review,True,,
new york e-mail,candidate_concept,kept_for_semantic_review,True,,
new york email,candidate_concept,kept_for_semantic_review,True,,
new york fax,candidate_concept,kept_for_semantic_review,True,,
new york international,candidate_concept,kept_for_semantic_review,True,,
new york new,candidate_concept,kept_for_semantic_review,True,,
new york psychoanalytic,candidate_concept,kept_for_semantic_review,True,,
new york united,candidate_concept,kept_for_semantic_review,True,,
new york university,candidate_concept,kept_for_semantic_review,True,,
new york usa,candidate_concept,kept_for_semantic_review,True,,
news notes comments,candidate_concept,kept_for_semantic_review,True,,
next favorite apa,candidate_concept,kept_for_semantic_review,True,,
nhs,candidate_concept,kept_for_semantic_review,True,,
normal,candidate_concept,kept_for_semantic_review,True,,
north michigan avenue,candidate_concept,kept_for_semantic_review,True,,
northern california,candidate_concept,kept_for_semantic_review,True,,
notification,candidate_concept,kept_for_semantic_review,True,,
notification latest,candidate_concept,kept_for_semantic_review,True,,
notification latest online,candidate_concept,kept_for_semantic_review,True,,
notified e-mail interest,candidate_concept,kept_for_semantic_review,True,,
now,candidate_concept,kept_for_semantic_review,True,,
now available sign,candidate_concept,kept_for_semantic_review,True,,
nyu postdoctoral,candidate_concept,kept_for_semantic_review,True,,
nyu postdoctoral program,candidate_concept,kept_for_semantic_review,True,,
object,candidate_concept,kept_for_semantic_review,True,,
object relations,candidate_concept,kept_for_semantic_review,True,,
object relations theory,candidate_concept,kept_for_semantic_review,True,,
object relationship,candidate_concept,kept_for_semantic_review,True,,
object relationships,candidate_concept,kept_for_semantic_review,True,,
object representations,candidate_concept,kept_for_semantic_review,True,,
objects,candidate_concept,kept_for_semantic_review,True,,
oedipus,candidate_concept,kept_for_semantic_review,True,,
oedipus complex,candidate_concept,kept_for_semantic_review,True,,
often,candidate_concept,kept_for_semantic_review,True,,
