rank,term,ngram_n,count,doc_count,doc_pct,n_docs_base,journal_key,n_records_group,period,semantic_review_status,candidate_reason,suggested_family,term_norm_for_audit,audit_category,audit_reason,include_in_semantic_review,audit_scope,audit_stage,manual_override,manual_override_note
32,unconscious,1,3727,2029,16.68,12164,,,,pending,global_and_comparative_high_frequency_recon,,unconscious,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
33,first,1,3593,2527,20.774,12164,,,,pending,global_and_comparative_high_frequency_recon,,first,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
34,life,1,3562,2346,19.286,12164,,,,pending,global_and_comparative_high_frequency_recon,,life,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
35,only,1,3549,2616,21.506,12164,,,,pending,global_and_comparative_high_frequency_recon,,only,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
36,freud's,1,3486,1716,14.107,12164,,,,pending,global_and_comparative_high_frequency_recon,,freud's,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
37,relationship,1,3454,2070,17.017,12164,,,,pending,global_and_comparative_high_frequency_recon,,relationship,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
38,research,1,3275,1700,13.976,12164,,,,pending,global_and_comparative_high_frequency_recon,,research,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
39,child,1,3080,1376,11.312,12164,,,,pending,global_and_comparative_high_frequency_recon,development_attachment,child,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
40,training,1,3007,1488,12.233,12164,,,,pending,global_and_comparative_high_frequency_recon,,training,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
41,out,1,2955,2034,16.721,12164,,,,pending,global_and_comparative_high_frequency_recon,,out,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
42,psychology,1,2919,1616,13.285,12164,,,,pending,global_and_comparative_high_frequency_recon,,psychology,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
43,psychic,1,2910,1515,12.455,12164,,,,pending,global_and_comparative_high_frequency_recon,,psychic,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
44,therapeutic,1,2901,1556,12.792,12164,,,,pending,global_and_comparative_high_frequency_recon,technique_process,therapeutic,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
45,phd,1,2883,1984,16.31,12164,,,,pending,global_and_comparative_high_frequency_recon,,phd,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
46,understanding,1,2856,2045,16.812,12164,,,,pending,global_and_comparative_high_frequency_recon,,understanding,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
47,early,1,2825,1820,14.962,12164,,,,pending,global_and_comparative_high_frequency_recon,,early,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
48,university,1,2810,1630,13.4,12164,,,,pending,global_and_comparative_high_frequency_recon,,university,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
49,self,1,2806,1327,10.909,12164,,,,pending,global_and_comparative_high_frequency_recon,self_narcissism,self,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
50,own,1,2798,2097,17.239,12164,,,,pending,global_and_comparative_high_frequency_recon,,own,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
52,mental,1,2720,1609,13.228,12164,,,,pending,global_and_comparative_high_frequency_recon,,mental,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
53,years,1,2672,1888,15.521,12164,,,,pending,global_and_comparative_high_frequency_recon,,years,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
54,well,1,2661,2220,18.251,12164,,,,pending,global_and_comparative_high_frequency_recon,,well,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
55,many,1,2655,2029,16.68,12164,,,,pending,global_and_comparative_high_frequency_recon,,many,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
56,com,1,2634,2487,20.446,12164,,,,pending,global_and_comparative_high_frequency_recon,,com,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
57,different,1,2442,1811,14.888,12164,,,,pending,global_and_comparative_high_frequency_recon,,different,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
58,patient's,1,2434,1517,12.471,12164,,,,pending,global_and_comparative_high_frequency_recon,,patient's,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
59,institute,1,2410,1576,12.956,12164,,,,pending,global_and_comparative_high_frequency_recon,,institute,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
60,reality,1,2384,1191,9.791,12164,,,,pending,global_and_comparative_high_frequency_recon,,reality,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
61,e-mail,1,2336,2117,17.404,12164,,,,pending,global_and_comparative_high_frequency_recon,,e-mail,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
62,mind,1,2304,1452,11.937,12164,,,,pending,global_and_comparative_high_frequency_recon,,mind,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
64,world,1,2243,1485,12.208,12164,,,,pending,global_and_comparative_high_frequency_recon,,world,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
65,very,1,2221,1672,13.745,12164,,,,pending,global_and_comparative_high_frequency_recon,,very,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
66,trauma,1,2221,884,7.267,12164,,,,pending,global_and_comparative_high_frequency_recon,affect_trauma_regulation,trauma,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
67,aspects,1,2187,1567,12.882,12164,,,,pending,global_and_comparative_high_frequency_recon,,aspects,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
68,london,1,2148,1612,13.252,12164,,,,pending,global_and_comparative_high_frequency_recon,,london,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
69,street,1,2130,2044,16.804,12164,,,,pending,global_and_comparative_high_frequency_recon,,street,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
70,personality,1,2127,1032,8.484,12164,,,,pending,global_and_comparative_high_frequency_recon,,personality,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
71,sexual,1,2111,969,7.966,12164,,,,pending,global_and_comparative_high_frequency_recon,body_sexuality,sexual,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
72,mother,1,2095,1029,8.459,12164,,,,pending,global_and_comparative_high_frequency_recon,development_attachment,mother,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
73,psychological,1,2045,1360,11.181,12164,,,,pending,global_and_comparative_high_frequency_recon,,psychological,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
74,after,1,2011,1516,12.463,12164,,,,pending,global_and_comparative_high_frequency_recon,,after,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
75,anxiety,1,2011,942,7.744,12164,,,,pending,global_and_comparative_high_frequency_recon,,anxiety,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
76,social,1,2011,1157,9.512,12164,,,,pending,global_and_comparative_high_frequency_recon,culture_social_ethics,social,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
77,analyst's,1,2007,1048,8.616,12164,,,,pending,global_and_comparative_high_frequency_recon,,analyst's,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
80,three,1,1942,1406,11.559,12164,,,,pending,global_and_comparative_high_frequency_recon,,three,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
81,any,1,1932,1459,11.994,12164,,,,pending,global_and_comparative_high_frequency_recon,,any,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
82,change,1,1930,1058,8.698,12164,,,,pending,global_and_comparative_high_frequency_recon,,change,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
83,relational,1,1919,878,7.218,12164,,,,pending,global_and_comparative_high_frequency_recon,relational_intersubjective,relational,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
85,dream,1,1899,578,4.752,12164,,,,pending,global_and_comparative_high_frequency_recon,,dream,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
86,important,1,1898,1598,13.137,12164,,,,pending,global_and_comparative_high_frequency_recon,,important,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
87,sense,1,1890,1341,11.024,12164,,,,pending,global_and_comparative_high_frequency_recon,,sense,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
88,thinking,1,1885,1197,9.841,12164,,,,pending,global_and_comparative_high_frequency_recon,,thinking,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
89,group,1,1872,1016,8.353,12164,,,,pending,global_and_comparative_high_frequency_recon,,group,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
90,nature,1,1862,1394,11.46,12164,,,,pending,global_and_comparative_high_frequency_recon,,nature,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
93,however,1,1842,1607,13.211,12164,,,,pending,global_and_comparative_high_frequency_recon,,however,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
94,association,1,1840,1199,9.857,12164,,,,pending,global_and_comparative_high_frequency_recon,,association,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
95,made,1,1828,1555,12.784,12164,,,,pending,global_and_comparative_high_frequency_recon,,made,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
96,human,1,1824,1202,9.882,12164,,,,pending,global_and_comparative_high_frequency_recon,,human,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
97,even,1,1809,1477,12.142,12164,,,,pending,global_and_comparative_high_frequency_recon,,even,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
98,summary,1,1793,1719,14.132,12164,,,,pending,global_and_comparative_high_frequency_recon,,summary,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
99,technique,1,1787,928,7.629,12164,,,,pending,global_and_comparative_high_frequency_recon,technique_process,technique,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
100,interpretation,1,1784,916,7.53,12164,,,,pending,global_and_comparative_high_frequency_recon,technique_process,interpretation,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
101,body,1,1780,833,6.848,12164,,,,pending,global_and_comparative_high_frequency_recon,body_sexuality,body,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
102,particular,1,1768,1495,12.29,12164,,,,pending,global_and_comparative_high_frequency_recon,,particular,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
103,complex,1,1750,1145,9.413,12164,,,,pending,global_and_comparative_high_frequency_recon,,complex,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
104,certain,1,1746,1369,11.255,12164,,,,pending,global_and_comparative_high_frequency_recon,,certain,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
105,situation,1,1744,1151,9.462,12164,,,,pending,global_and_comparative_high_frequency_recon,,situation,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
106,over,1,1723,1352,11.115,12164,,,,pending,global_and_comparative_high_frequency_recon,,over,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
107,must,1,1715,1250,10.276,12164,,,,pending,global_and_comparative_high_frequency_recon,,must,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
108,model,1,1707,968,7.958,12164,,,,pending,global_and_comparative_high_frequency_recon,,model,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
109,dreams,1,1706,581,4.776,12164,,,,pending,global_and_comparative_high_frequency_recon,,dreams,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
110,children,1,1706,884,7.267,12164,,,,pending,global_and_comparative_high_frequency_recon,development_attachment,children,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
111,often,1,1697,1420,11.674,12164,,,,pending,global_and_comparative_high_frequency_recon,,often,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
113,like,1,1681,1312,10.786,12164,,,,pending,global_and_comparative_high_frequency_recon,,like,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
114,states,1,1677,1071,8.805,12164,,,,pending,global_and_comparative_high_frequency_recon,,states,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
115,history,1,1663,1175,9.66,12164,,,,pending,global_and_comparative_high_frequency_recon,,history,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
116,thought,1,1658,1197,9.841,12164,,,,pending,global_and_comparative_high_frequency_recon,,thought,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
117,function,1,1657,1053,8.657,12164,,,,pending,global_and_comparative_high_frequency_recon,,function,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
118,form,1,1642,1269,10.432,12164,,,,pending,global_and_comparative_high_frequency_recon,,form,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
120,same,1,1614,1299,10.679,12164,,,,pending,global_and_comparative_high_frequency_recon,,same,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
121,relation,1,1607,1131,9.298,12164,,,,pending,global_and_comparative_high_frequency_recon,,relation,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
122,ideas,1,1601,1182,9.717,12164,,,,pending,global_and_comparative_high_frequency_recon,,ideas,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
123,state,1,1592,1106,9.092,12164,,,,pending,global_and_comparative_high_frequency_recon,,state,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
124,emotional,1,1589,1007,8.279,12164,,,,pending,global_and_comparative_high_frequency_recon,affect_trauma_regulation,emotional,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
125,american,1,1584,991,8.147,12164,,,,pending,global_and_comparative_high_frequency_recon,,american,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
126,identification,1,1573,788,6.478,12164,,,,pending,global_and_comparative_high_frequency_recon,object_relations,identification,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
127,need,1,1570,1220,10.03,12164,,,,pending,global_and_comparative_high_frequency_recon,,need,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
128,countertransference,1,1569,749,6.158,12164,,,,pending,global_and_comparative_high_frequency_recon,transference_countertransference,countertransference,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
129,subject,1,1560,1131,9.298,12164,,,,pending,global_and_comparative_high_frequency_recon,,subject,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
130,problems,1,1550,1065,8.755,12164,,,,pending,global_and_comparative_high_frequency_recon,,problems,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
131,robert,1,1548,466,3.831,12164,,,,pending,global_and_comparative_high_frequency_recon,,robert,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
132,place,1,1546,1265,10.4,12164,,,,pending,global_and_comparative_high_frequency_recon,,place,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
133,further,1,1528,1244,10.227,12164,,,,pending,global_and_comparative_high_frequency_recon,,further,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
134,individual,1,1513,1127,9.265,12164,,,,pending,global_and_comparative_high_frequency_recon,,individual,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
135,society,1,1511,994,8.172,12164,,,,pending,global_and_comparative_high_frequency_recon,,society,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
136,attachment,1,1498,423,3.477,12164,,,,pending,global_and_comparative_high_frequency_recon,development_attachment,attachment,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
137,much,1,1470,1214,9.98,12164,,,,pending,global_and_comparative_high_frequency_recon,,much,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
138,against,1,1459,1099,9.035,12164,,,,pending,global_and_comparative_high_frequency_recon,,against,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
139,become,1,1459,1254,10.309,12164,,,,pending,global_and_comparative_high_frequency_recon,,become,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
140,relations,1,1456,882,7.251,12164,,,,pending,global_and_comparative_high_frequency_recon,,relations,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
141,language,1,1456,709,5.829,12164,,,,pending,global_and_comparative_high_frequency_recon,language_narrative_meaning,language,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
142,death,1,1452,741,6.092,12164,,,,pending,global_and_comparative_high_frequency_recon,,death,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
143,literature,1,1448,1160,9.536,12164,,,,pending,global_and_comparative_high_frequency_recon,,literature,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
144,meaning,1,1447,974,8.007,12164,,,,pending,global_and_comparative_high_frequency_recon,language_narrative_meaning,meaning,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
145,love,1,1446,681,5.598,12164,,,,pending,global_and_comparative_high_frequency_recon,,love,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
146,now,1,1445,1141,9.38,12164,,,,pending,global_and_comparative_high_frequency_recon,,now,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
147,theories,1,1444,926,7.613,12164,,,,pending,global_and_comparative_high_frequency_recon,,theories,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
148,psycho-analysis,1,1409,632,5.196,12164,,,,pending,global_and_comparative_high_frequency_recon,,psycho-analysis,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
149,rather,1,1401,1220,10.03,12164,,,,pending,global_and_comparative_high_frequency_recon,,rather,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
150,possible,1,1398,1188,9.767,12164,,,,pending,global_and_comparative_high_frequency_recon,,possible,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
151,internal,1,1398,940,7.728,12164,,,,pending,global_and_comparative_high_frequency_recon,,internal,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
152,question,1,1372,1015,8.344,12164,,,,pending,global_and_comparative_high_frequency_recon,,question,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
153,narcissistic,1,1372,681,5.598,12164,,,,pending,global_and_comparative_high_frequency_recon,self_narcissism,narcissistic,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
154,conflict,1,1370,828,6.807,12164,,,,pending,global_and_comparative_high_frequency_recon,,conflict,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
155,contemporary,1,1368,981,8.065,12164,,,,pending,global_and_comparative_high_frequency_recon,,contemporary,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
156,here,1,1365,1128,9.273,12164,,,,pending,global_and_comparative_high_frequency_recon,,here,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
157,psychiatry,1,1359,981,8.065,12164,,,,pending,global_and_comparative_high_frequency_recon,,psychiatry,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
158,importance,1,1359,1125,9.249,12164,,,,pending,global_and_comparative_high_frequency_recon,,importance,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
159,general,1,1348,1057,8.69,12164,,,,pending,global_and_comparative_high_frequency_recon,,general,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
160,personal,1,1343,978,8.04,12164,,,,pending,global_and_comparative_high_frequency_recon,,personal,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
161,problem,1,1342,877,7.21,12164,,,,pending,global_and_comparative_high_frequency_recon,,problem,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
162,later,1,1340,1116,9.175,12164,,,,pending,global_and_comparative_high_frequency_recon,,later,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
