semantic_family,semantic_family_label,family_group,marker_strength,n_terms,example_terms
winnicottian_environment_holding,Winnicottian / holding,Object-relational traditions,weak,2,mother | play
winnicottian_environment_holding,Winnicottian / holding,Object-relational traditions,name_marker,0,
attachment_development_infant,Attachment / development / infant,Developmental / attachment,strong,13,adult attachment | attachment | attachment anxiety | attachment interview | attachment style | attachment styles | infancy | infants | mother-infant | parent-infant relationship-contributions | parent-infant relationshipcontributions | separation anxiety
attachment_development_infant,Attachment / development / infant,Developmental / attachment,medium,12,child adolescent | child competition | child psychiatry | child psychotherapists | childhood | children adolescents | early childhood | early psychic | early stages | family romance | journal child | very early
attachment_development_infant,Attachment / development / infant,Developmental / attachment,weak,5,child | children | early | family | loss
attachment_development_infant,Attachment / development / infant,Developmental / attachment,name_marker,0,
transference_countertransference,Transference / countertransference,Clinical process / technique,strong,10,countertransference | enactment | enactments | transference | transference countertransference | transference interpretation | transference neurosis | transference phenomena | transference situation | transference-countertransference
transference_countertransference,Transference / countertransference,Clinical process / technique,medium,0,
transference_countertransference,Transference / countertransference,Clinical process / technique,weak,0,
transference_countertransference,Transference / countertransference,Clinical process / technique,name_marker,0,
technique_interpretation_process,Technique / interpretation / process,Clinical process / technique,strong,4,analyst's interpretations | interpretation | interpretations | therapeutic action
technique_interpretation_process,Technique / interpretation / process,Clinical process / technique,medium,5,frame reference | psycho-analytic technique | technique | technique psycho-analysis | termination
technique_interpretation_process,Technique / interpretation / process,Clinical process / technique,weak,2,setting | technical
technique_interpretation_process,Technique / interpretation / process,Clinical process / technique,name_marker,0,
relational_intersubjective_field,Relational / intersubjective / field,Relational / contextual,strong,17,dynamic interpersonal | interpersonal | interpersonal dit | intersubjective | intersubjectivity | intrapsychic interpersonal | mitchell relational | relational | relational perspective | relational perspectives | relational studies | relational study
relational_intersubjective_field,Relational / intersubjective / field,Relational / contextual,medium,3,mutual influence | recognition | two-person
relational_intersubjective_field,Relational / intersubjective / field,Relational / contextual,weak,4,dialogue | mutual | relationship | relationships
relational_intersubjective_field,Relational / intersubjective / field,Relational / contextual,name_marker,0,
trauma_dissociation_affect_regulation,Trauma / dissociation / affect regulation,Trauma / affect / severity,strong,4,affect regulation | dissociation | regulation | trauma
trauma_dissociation_affect_regulation,Trauma / dissociation / affect regulation,Trauma / affect / severity,medium,1,affective
trauma_dissociation_affect_regulation,Trauma / dissociation / affect regulation,Trauma / affect / severity,weak,4,affect | anxiety | emotional | feelings
trauma_dissociation_affect_regulation,Trauma / dissociation / affect regulation,Trauma / affect / severity,name_marker,0,
psychosis_borderline_primitive_states,Psychosis / borderline / primitive states,Trauma / affect / severity,strong,7,borderline | borderline personality | borderline psychopathology | borderline schizophrenic | lucas psychotic | psychotic | psychotic wavelength
psychosis_borderline_primitive_states,Psychosis / borderline / primitive states,Trauma / affect / severity,medium,1,primitive mental
psychosis_borderline_primitive_states,Psychosis / borderline / primitive states,Trauma / affect / severity,weak,1,primitive
psychosis_borderline_primitive_states,Psychosis / borderline / primitive states,Trauma / affect / severity,name_marker,0,
body_sexuality_gender,Body / sexuality / gender,Body / sexuality / gender,strong,21,body image | childhood sexual | female | female psychology | female sexual | female sexuality | gender | gender identity | gender sexuality | infantile sexuality | male female | opposite sex
body_sexuality_gender,Body / sexuality / gender,Body / sexuality / gender,medium,0,
body_sexuality_gender,Body / sexuality / gender,Body / sexuality / gender,weak,1,body
body_sexuality_gender,Body / sexuality / gender,Body / sexuality / gender,name_marker,0,
language_narrative_symbolization,Language / narrative / symbolization,Narrative / symbolic,strong,4,english language | language | story | words
language_narrative_symbolization,Language / narrative / symbolization,Narrative / symbolic,medium,2,representational world | representations
language_narrative_symbolization,Language / narrative / symbolization,Narrative / symbolic,weak,1,meaning
language_narrative_symbolization,Language / narrative / symbolization,Narrative / symbolic,name_marker,0,
culture_race_social_ethics,Culture / race / social / ethics,Relational / contextual,strong,4,race class | racial | racism | systemic racism
culture_race_social_ethics,Culture / race / social / ethics,Relational / contextual,medium,4,social cognition | social psychology | violence | world war
culture_race_social_ethics,Culture / race / social / ethics,Relational / contextual,weak,7,cultural | culture | political | race | responsibility | social | war
culture_race_social_ethics,Culture / race / social / ethics,Relational / contextual,name_marker,0,
empirical_research_measurement,Empirical research / measurement,Research / method,strong,8,assessment | effectiveness | measure | measures | outcome | outcomes | personality assessment | scale
empirical_research_measurement,Empirical research / measurement,Research / method,medium,16,aim study | competition evidence-based | competition study | diagnostic statistical | empirical investigation | evidence base | evidence-based | evidence-based empirical | evidence-based study | evidence-based study-prize | pilot study | prizes evidence-based
empirical_research_measurement,Empirical research / measurement,Research / method,weak,1,evidence
empirical_research_measurement,Empirical research / measurement,Research / method,name_marker,0,
history_theory_schools,History / theory / schools,History / theory,strong,17,anna freud | balint michael | budapest ferenczi | ferenczi budapest | ferenczi ferenczi | freud himself | freud pointed | freud sigmund | freud stated | freud vienna | freud's thinking | freud's writings
history_theory_schools,History / theory / schools,History / theory,medium,0,
history_theory_schools,History / theory / schools,History / theory,weak,0,
history_theory_schools,History / theory / schools,History / theory,name_marker,4,freud | freud's | freudian | kohut
